t,pAC_Obs,RIIp_2_Obs,AC_Fsk_Obs
0,-0.196329278000567,0.0974970145725102,-0.101211465634095
1,NaN,NaN,-0.00122285712027675
2,NaN,NaN,-0.0106792431440053
3.5,NaN,NaN,-0.28281767839546
4.5,NaN,NaN,0.130916665425082
5.5,-0.197076767824133,NaN,NaN
6,NaN,0.059176790367191,-0.235608565492428
7,NaN,NaN,-0.0198926187275999
8.5,NaN,NaN,-0.097901923079724
10,-0.129637093589026,0.0698541486276133,0.0929764111912987
15,NaN,NaN,-0.112100379868081
20,0.149785230503651,0.305132425476443,0.17161610185894
25,0.105067054388899,0.310737405244729,0.30255669508274
30,NaN,NaN,0.0184056602667204
35,-0.0442308361519357,0.234066615503991,0.238870201878415
40,NaN,NaN,0.176941989122707
45,NaN,0.314567928458234,NaN
55,NaN,0.216411946060292,NaN
70,NaN,0.334679799934522,NaN
85,NaN,0.308562129470426,NaN
