t,pAC_Obs,Csub_H89_Obs,RIIp_2_Obs
0,-0.0155291373964098,0.00519403448997771,0.11597182357468
7,0.312581190725171,NaN,NaN
15,0.29301799150698,NaN,NaN
20,NaN,0.0282064885495021,NaN
25,0.15357051364165,NaN,0.0348852464715434
30,0.0264316592013775,NaN,NaN
40,-0.0338641164192977,0.052988799045895,NaN
45,NaN,NaN,0.0579473266922167
55,-0.0344943952431168,NaN,NaN
60,NaN,0.113207640812084,NaN
70,-0.192893710302943,NaN,0.182796562858453
85,-0.316640696169334,0.112186996103946,NaN
100,-0.132811179955761,0.0580675036968205,0.204844506125613
150,NaN,0.179997997531631,0.180710712504233
200,NaN,0.21322382407125,0.173875965063811
250,NaN,0.211935944277432,0.231675509165217
300,NaN,0.306969409319245,0.183957530296987
350,NaN,0.293305151865825,0.219816007952848
450,NaN,0.383127909994585,0.121816736239078
