t,pAC_Obs,Csub_Obs,RIIp_2_Obs
0,-0.120522564727239,0.197469260221518,0.0541631947640511
6.5,-0.330133054131358,NaN,NaN
7.5,NaN,0.0977203367343112,NaN
15,-0.222247769121298,0.141196546794993,NaN
20,0.320131884631581,NaN,0.06744656182046
25,NaN,0.207382220923423,NaN
30,0.0384450809349171,NaN,NaN
35,NaN,0.111443093625442,NaN
40,-0.111355750192035,0.160961490655439,0.0501101235539567
50,0.319038549600155,NaN,NaN
55,NaN,0.202384399427971,NaN
60,NaN,NaN,0.140496442140533
65,0.22594003499472,0.285925956894056,NaN
80,-0.33954959948486,0.35767910179388,0.264236647107935
95,NaN,0.2858654404894,NaN
100,-0.103720850346716,0.356834528140162,0.170376197710815
150,NaN,0.260048499742381,0.234526259377456
200,NaN,NaN,0.234228181370986
250,NaN,NaN,0.144325232472226
300,NaN,NaN,0.224418679866817
350,NaN,NaN,0.186218450963372
450,NaN,NaN,0.184240734165883
