t,pAC_Obs,RIIp_2_Obs,pAC_Fsk_Obs
0,-0.10325925831953,0.0933362963924087,0.108069587609042
6.5,NaN,NaN,0.373472355838548
7,0.0891835716952658,NaN,NaN
15,-0.264821044795125,0.0947123202089977,0.190652636589806
20,-0.167600452870706,NaN,-0.0980154801221492
30,0.178915167144585,0.120205875545708,-0.11825317414905
35,NaN,NaN,0.0477084561376
40,0.219616577521854,NaN,NaN
45,NaN,0.101481701831085,-0.463687095098433
55,0.00487684279599064,NaN,NaN
60,NaN,NaN,0.0137412589953006
65,0.0974738566652258,0.151490274483926,NaN
70,NaN,NaN,-0.0733227053678342
85,0.0593917518901237,0.213160085357507,NaN
90,NaN,NaN,-0.362869391402116
100,0.383004469059734,0.165834769115846,0.0335975014724008
150,NaN,0.181398556219394,NaN
200,NaN,0.193716371801004,NaN
