t,pAC_Obs,RIIp_2_Obs,pAC_Fsk_Obs
0,0.0991674098207277,0.168394879148464,-0.0837914279219105
3,0.108304712565229,NaN,-0.379766342560169
6,NaN,NaN,-0.024482623038996
6.5,-0.194294986261754,0.094389584659936,NaN
9,NaN,NaN,0.234148826214739
10,0.250728647760195,NaN,0.308161719269297
15,0.385834803171361,0.161978209102718,-0.209005321008961
20,0.0754439625884031,0.24313433203786,-0.240529199645284
25,0.190554947976311,NaN,0.147757839464205
30,NaN,0.307262957190574,0.0875526732526886
35,-0.00198654550082058,0.245528431400399,-0.286480227404644
40,0.0167629412952133,NaN,0.152976813896753
45,NaN,NaN,0.188979118475331
50,-0.0159645107317082,0.269982034340056,NaN
55,NaN,NaN,0.0690267515227863
60,-0.386087921117418,0.217621959789475,NaN
65,NaN,NaN,0.319256352629416
75,0.450342887742737,0.262587342709625,-0.0650557194769882
