t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_6_Obs
0,887.817095415887,1026.79606288414,33.7488087249492,-49.4948995475082,7.70067266517699,721.56040177912
20,NaN,737.25873081272,348.309561372304,NaN,NaN,NaN
25,NaN,NaN,NaN,133.911039744162,236.282525303967,NaN
30,NaN,NaN,NaN,NaN,NaN,654.306424774975
35,518.972866144703,NaN,NaN,NaN,NaN,NaN
40,NaN,567.016731085091,203.409167740084,NaN,NaN,NaN
50,NaN,NaN,NaN,NaN,272.74232680332,NaN
55,NaN,NaN,NaN,121.672261758252,NaN,NaN
60,NaN,NaN,118.878236935144,NaN,NaN,445.175326385755
65,NaN,590.914917766194,NaN,NaN,NaN,NaN
70,542.529246345056,NaN,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,304.575898452624,NaN
85,NaN,NaN,226.743456620361,102.117086138534,NaN,NaN
90,NaN,410.816205236968,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,NaN,383.552994518468
100,167.538110367127,434.936783357965,375.934514382555,115.994234772483,251.413655646509,NaN
150,387.616085251998,273.583800709533,444.260786680577,76.2009936285876,182.135244179615,218.373139300118
200,495.900360928826,367.589646362658,302.248108432436,67.7921559411065,189.331633300512,45.4906576864506
250,754.608040033857,531.357230035151,583.172335385567,58.4208702814076,143.462349324211,17.6778503036655
300,606.328529304977,NaN,621.158963788951,46.2237854874735,44.1344129050135,NaN
350,621.764029830325,392.39137434977,552.614212811785,46.6794731355188,71.455680089558,42.9319534093757
400,604.342062057255,403.480413866679,698.8452759019,48.8241340271868,81.1774206380974,22.9706058942006
450,NaN,NaN,NaN,NaN,-16.1984318807047,NaN
500,749.730276748045,NaN,NaN,19.8972937685694,NaN,-39.6619799579002
550,NaN,NaN,NaN,NaN,-32.9682486624504,NaN
600,670.724868386904,NaN,NaN,39.2512698819668,NaN,25.242923131322
750,967.951111437201,NaN,NaN,NaN,NaN,NaN
