t,STAT5B_Obs,pApB_Obs,nucpApA_Obs,nucpBpB_Obs
0,65.4216582328987,-1.61507739909611,-12.1354109062271,-15.5170331516146
15,NaN,21.6974570960881,176.353412421035,NaN
20,7.99670131413063,NaN,NaN,42.3251337758122
25,NaN,21.8408246111006,NaN,NaN
30,NaN,NaN,170.518634034094,NaN
35,NaN,NaN,NaN,31.2927380406495
40,9.67974886664026,20.2960243886314,NaN,NaN
50,NaN,NaN,132.850942119296,NaN
55,NaN,11.8336201674441,NaN,38.3515932627494
60,3.58670905061795,NaN,NaN,NaN
65,NaN,NaN,165.062248098376,NaN
75,NaN,10.9062452001768,NaN,39.6499807097444
80,6.38380448551172,NaN,NaN,NaN
85,NaN,NaN,152.203428619014,NaN
90,NaN,3.37656407367441,NaN,NaN
95,NaN,NaN,NaN,31.4278201727845
100,10.4715282492173,8.09612796008888,139.906165616987,32.894952939452
150,5.79101888456833,4.18074620907721,115.882188144868,26.0840619490802
200,12.9709938677836,-2.23292195734531,103.724283379901,28.6894167345188
250,19.800527073679,0.767249483341134,90.8366862504389,21.580649003869
300,14.9536595664551,-4.64305466040289,41.6889387921398,12.7249554151715
350,25.8384500624411,NaN,10.4636325973518,16.4040529182431
400,28.1684442886619,NaN,68.6302182168707,NaN
450,24.6015426355682,NaN,NaN,NaN
