t,RAF_Obs,pRAF_Obs,MEK_Obs,pMEK_Obs,ERK_Obs,pERK_Obs
0,1.0248684069907,3.58950325075168e-06,0.979599559644696,-0.00110662268416787,0.826235396478675,0.0234700319198015
0.25,0.973996489053382,NaN,NaN,NaN,NaN,NaN
0.3,NaN,NaN,1.06774264993389,NaN,NaN,NaN
0.45,NaN,NaN,NaN,NaN,0.444464466413897,NaN
0.5,1.43025287730478,0.000123937788520273,NaN,0.0161901873064239,NaN,NaN
0.6,NaN,NaN,0.791403336561701,NaN,NaN,NaN
0.75,1.0083434481461,NaN,NaN,NaN,NaN,NaN
0.9,NaN,NaN,1.22041027808007,NaN,NaN,NaN
0.95,NaN,NaN,NaN,NaN,0.615610289079676,NaN
1,1.07694367127042,8.03073207677042e-05,1.06393441880974,0.0123496614292106,NaN,NaN
1.5,1.14420508174415,5.50913285688452e-05,0.910914682456366,0.00821342641937166,0.42593962407487,NaN
2,1.2506982923704,NaN,1.25094889479219,0.00531001208776265,0.880370545334273,0.273108071296112
2.5,1.04943687141043,2.11233090794749e-05,0.887633459175563,NaN,0.522230603578243,NaN
3,1.40122511161186,2.67736715186161e-05,0.741204175775659,0.00489966489465832,1.05158735272659,NaN
3.5,NaN,NaN,NaN,0.00108309911405115,NaN,0.0932211322632459
4,0.600719544387123,-7.20397092822754e-06,1.11630611997703,NaN,0.889926311851662,NaN
4.5,NaN,NaN,1.26413166148297,-0.00155280540532712,NaN,NaN
5,NaN,NaN,NaN,NaN,0.761678316978717,NaN
5.5,NaN,NaN,NaN,NaN,0.705483994339729,0.0531570846105385
7,NaN,NaN,NaN,NaN,1.03310727147741,NaN
8,NaN,NaN,NaN,NaN,0.765684037672567,0.00920533376006889
10,NaN,NaN,NaN,NaN,NaN,0.037861529590328
15,NaN,NaN,NaN,NaN,NaN,0.0199717944248018
20,NaN,NaN,NaN,NaN,NaN,0.0181610709590418
25,NaN,NaN,NaN,NaN,NaN,0.0463844784130179
