t,RAF_Obs,pRAF_Obs,MEK_Obs,pMEK_Obs,ERK_Obs,pERK_Obs
0,0.948981174769504,-1.16290441287982e-05,0.874847175586962,-0.000419887452855608,0.766051920012324,0.0430985183658281
0.2,0.822189323060748,NaN,NaN,NaN,NaN,NaN
0.35,NaN,NaN,NaN,NaN,NaN,0.0223397297316166
0.4,NaN,NaN,NaN,0.0218352417450189,NaN,NaN
0.45,0.882977513824781,0.000239364901216159,0.74851795770402,NaN,0.905524428231013,NaN
0.7,0.507790870572663,NaN,NaN,NaN,NaN,NaN
0.75,NaN,NaN,NaN,NaN,NaN,0.0267317497339299
0.8,NaN,NaN,NaN,0.0234810324455929,NaN,NaN
0.9,NaN,NaN,1.04358260133973,NaN,1.07109215841299,NaN
0.95,1.07793564808789,0.000131767019106218,NaN,NaN,NaN,NaN
1,NaN,NaN,NaN,0.0198127950307374,NaN,0.0263564313116192
1.5,1.01060194312127,0.000110982800147645,1.19132880966591,0.0160428938106822,1.2753627355876,0.0203175637787557
2,0.867973826064104,3.84631738633926e-05,1.00006979671627,NaN,1.22245958370098,0.00799563840935519
2.5,0.857233736341763,NaN,1.12133748406512,0.00458922052786223,0.68380168237626,0.0131798036629929
3,0.9239689574729,5.99591620749749e-05,NaN,0.00279076004182789,0.737919215485753,0.00862955695647151
3.5,0.844857201416759,2.77295430006865e-05,0.953077059248009,0.00539231217800173,NaN,NaN
4,NaN,NaN,0.986549176139146,NaN,1.12746842249051,0.00179501756232051
4.5,NaN,NaN,NaN,0.00311784361557949,NaN,0.00808544732787429
5,NaN,NaN,0.906335698228006,NaN,1.06451116581284,NaN
5.5,NaN,NaN,NaN,0.00251845149959044,NaN,0.00492307943660413
6,NaN,NaN,1.06959804014064,NaN,0.440356719546826,NaN
6.5,NaN,NaN,NaN,0.00400026609375051,NaN,NaN
7,NaN,NaN,NaN,NaN,1.13753799894657,NaN
7.5,NaN,NaN,1.53872851864252,NaN,NaN,NaN
