t,RAF_Obs,pRAF_Obs,MEK_Obs,pMEK_Obs,ERK_Obs,pERK_Obs
0,0.957554773796002,5.60259160268122e-06,0.625159799633497,3.04128834924765e-05,0.989491941497001,0.0535401666517817
0.2,0.762100622228448,NaN,NaN,NaN,NaN,NaN
0.3,NaN,NaN,1.03851038827654,NaN,NaN,NaN
0.4,NaN,NaN,NaN,0.00513263917150422,NaN,0.0864789354188689
0.45,0.885463392574907,0.000183211209461933,NaN,NaN,0.74343409259525,NaN
0.6,NaN,NaN,1.01545925192012,NaN,NaN,NaN
0.7,0.978819752393476,NaN,NaN,NaN,NaN,NaN
0.8,NaN,NaN,NaN,0.00421078466085783,NaN,0.204097165374972
0.9,NaN,9.34356634330315e-05,1.13539978887904,NaN,1.13611836411518,NaN
0.95,1.39085539640885,NaN,NaN,NaN,NaN,NaN
1,0.579648071720693,NaN,NaN,0.00354969817359141,NaN,0.216718009821329
1.5,1.03344056390892,5.52524750822607e-05,0.907715331781933,0.00219869792344368,0.543136793805568,0.193679117183845
2,0.779219404692198,2.37850122953724e-05,1.14914908392241,0.0010459636962605,0.839609536061027,0.108030409872442
2.5,1.12634265683476,2.89020481345747e-05,0.938701856529492,NaN,0.98845216854179,NaN
3,0.655522875752957,2.15759755851144e-05,0.960609240796636,0.00067710218783951,0.812140033528887,0.0405107893903024
3.5,0.950190035119197,NaN,NaN,0.000798336143517086,NaN,0.0805369817557795
4,NaN,7.88208206381093e-06,0.84567957300975,NaN,0.903732860084942,NaN
4.5,NaN,1.77962496406071e-05,NaN,NaN,NaN,NaN
5,NaN,NaN,0.700334400905224,NaN,1.04203506204303,NaN
5.5,NaN,-8.33101489984485e-06,NaN,NaN,NaN,NaN
6,NaN,NaN,NaN,NaN,0.961603533003179,NaN
7,NaN,8.6236564556889e-06,NaN,NaN,NaN,NaN
