t,Compound_1_Obs,Compound_5_Obs
0,8.6343416495472,11.2010113809284
0.45,NaN,8.09784340588521
0.95,NaN,12.4381419666367
1.5,12.6782444688977,8.40413302660107
2,NaN,8.89572842279266
2.5,10.6653814977433,22.8987826604138
3.5,NaN,13.5893845462377
4,19.7548597785109,6.33778521700935
5,NaN,9.67245797887128
6,6.01669810503588,4.67541757780351
7,NaN,5.97173488043076
7.5,7.82939053319715,NaN
8.5,NaN,11.7021617811837
9.5,11.1851277557517,NaN
10,8.22615769066889,NaN
15,4.73478171517183,NaN
20,3.15473425139157,NaN
