t,IR_Obs,IRiP_Obs,IRi_Obs,XX_Obs
0,9.91745404141265,1.95351068830562e-05,-0.0286744915355671,8.88304609506881
0.4,NaN,NaN,NaN,11.0367369847626
0.85,NaN,NaN,NaN,9.72890211722415
1,NaN,0.000317087867008353,NaN,NaN
1.5,6.55210979505616,NaN,0.147115253402507,8.97175732039778
2.5,NaN,0.000191664024770166,NaN,10.1740479255572
3,5.14437086251979,NaN,0.500349671323451,8.03524442210189
3.5,NaN,NaN,NaN,9.6872127425432
4,NaN,0.000238198097238019,NaN,NaN
4.5,1.83216174415103,NaN,0.712953799509153,8.84483741790518
5,NaN,0.000363873166525348,NaN,10.2834159585769
6,NaN,NaN,1.39057914403574,10.3391025145928
6.5,0.222541623244701,NaN,NaN,NaN
7,NaN,0.000280035762761557,NaN,NaN
7.5,NaN,NaN,1.72033963273752,10.3672757298843
8.5,0.547858892297326,0.000257766564294388,NaN,NaN
9.5,NaN,NaN,2.12399069669949,NaN
10,0.0746872346203737,0.000282357435427637,2.56475110475543,NaN
15,0.660863556895774,0.000225407574284586,3.54426389315121,NaN
20,0.463181086899783,0.000263490185758234,3.91931791907925,NaN
