t,IR_Obs,IRins_Obs,IRp_Obs,IRiP_Obs,IRi_Obs,IRS_Obs,IRSiP_Obs,XX_Obs
0,9.88260307073969,0.0353185096483892,3.12664520431629e-08,3.27083199935954e-05,0.26884610472283,8.92034577255311,0.285270845112008,10.5216138776995
2,NaN,NaN,NaN,NaN,NaN,6.42456418212817,2.98455503931156,NaN
2.5,NaN,8.12764929369006,7.1956645270643e-07,NaN,NaN,NaN,NaN,NaN
3,0.0655612867788347,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,NaN,NaN,NaN,NaN,NaN,7.96124680483164,2.04849363214231,NaN
4.5,NaN,NaN,NaN,0.000273904446192634,1.53198470649031,NaN,NaN,10.0741404593544
5,NaN,7.93334161841015,6.80840198417532e-07,NaN,NaN,NaN,NaN,NaN
6,0.0661893886852969,NaN,NaN,NaN,NaN,6.83950608755039,NaN,NaN
6.5,NaN,NaN,NaN,NaN,NaN,NaN,2.4780932188297,NaN
7.5,NaN,6.72290307249552,6.47268133527719e-07,NaN,NaN,NaN,NaN,NaN
8.5,NaN,NaN,NaN,NaN,2.67907565211706,6.86238331786079,NaN,NaN
9,NaN,NaN,NaN,NaN,NaN,NaN,1.99763715887064,10.2581311176551
9.5,-0.11384325606653,NaN,NaN,0.000246633176883989,NaN,NaN,NaN,NaN
10,NaN,7.21651257216399,5.64978243606016e-07,NaN,NaN,7.34400520500544,2.18710815499617,NaN
15,-0.108569803676659,5.28090893485254,4.69889072822073e-07,0.00023647708343311,4.8741377516111,7.34604361915001,2.3552688220229,9.87715228200056
20,0.0543707642026402,5.089126588248,4.18147092218691e-07,0.000254108611803302,4.09461730627204,7.40498518382928,2.23662212549811,10.6215097647254
25,0.0221753352072679,3.99676612355279,4.58533334517243e-07,0.000202709382413899,4.76241485876259,7.62737404383625,2.06276500874891,8.85368980308472
30,NaN,4.92352414611723,3.73772208536062e-07,0.000210556070137821,5.5252555291797,8.68932496623621,2.1275227810797,9.46313081424833
40,NaN,3.84913773691022,4.37092088565174e-07,0.000199258189019876,5.43914582412837,NaN,NaN,10.4265733607685
45,NaN,4.24167096171461,2.85244153879392e-07,NaN,NaN,NaN,NaN,NaN
50,NaN,NaN,NaN,0.0001799556837905,5.78260993839714,NaN,NaN,10.2433722291614
60,NaN,NaN,NaN,0.00015448786090601,4.79780852623159,NaN,NaN,10.3058792729451
70,NaN,NaN,NaN,0.000175885884404067,5.00295818590723,NaN,NaN,9.92492343542628
