t,X_protein_Obs,GFP_Obs,Y_mRNA_Obs
0,8.57608715666349,0.0977376237088854,738.840557101634
20,NaN,NaN,0.0442444172281826
30,5405.31888776999,NaN,NaN
40,NaN,NaN,0.0701829553520869
55,NaN,12.4715069716219,NaN
60,NaN,NaN,0.0469787156680655
65,3442.95340999179,NaN,NaN
80,NaN,NaN,0.117976845903392
95,1278.29166829859,NaN,NaN
100,NaN,7.20661414782345,0.233168196031505
150,1321.45362487732,37.5012435801989,0.944812518458978
200,643.124595992728,NaN,0.552805546868214
250,1081.77179603045,36.7920063623603,0.191490660885592
300,NaN,25.9250862035637,0.0915109117212499
350,2729.79907550557,NaN,NaN
400,1689.59851980272,9.78791216673602,NaN
450,NaN,13.0386486339494,NaN
500,353.947951289479,NaN,NaN
600,NaN,53.9168979296566,NaN
700,NaN,37.7612508300629,NaN
850,NaN,14.8344397723506,NaN
1000,NaN,36.6643119709385,NaN
1500,NaN,27.3724674757014,NaN
