t,STAT5B_Obs,nucpApB_Obs,nucpBpB_Obs
0,63.5519147556758,18.7568460809547,-0.566670645995236
15,6.40060149392804,NaN,39.7588299371208
20,NaN,34.3908369785942,NaN
35,7.37333747623168,61.5222640719794,44.5597218687295
55,17.1293645985515,73.5032413266311,44.8313827732479
75,5.45842626547102,60.9859555484024,31.1268611384952
95,3.1678721030879,NaN,31.3869262523473
100,11.6583221167513,30.3726517222383,43.9435256621107
150,6.88853747152105,96.4367294942301,31.2484994177443
200,9.8187969740288,143.494261921729,25.1673716135711
250,12.2892588122988,122.953183972473,13.4733685245173
300,20.8871557449472,94.5853163380213,14.3983099842439
350,20.6009388704095,92.5158439981619,6.76528984848167
400,NaN,NaN,11.3077041887422
450,35.0515331099546,114.518029825877,NaN
