t,K27me0K36me0_Obs,K27me0K36me1_Obs,K27me1K36me0_Obs,K27me0K36me2_Obs,K27me1K36me1_Obs,K27me2K36me0_Obs,K27me0K36me3_Obs,K27me1K36me2_Obs,K27me2K36me1_Obs,K27me3K36me0_Obs,K27me1K36me3_Obs,K27me2K36me2_Obs,K27me3K36me1_Obs,K27me2K36me3_Obs,K27me3K36me2_Obs
0,0.00407989876782378,0.00827905659190444,0.00439368618758143,0.15902642367591,0.0174832585148237,0.00469990967938225,0.0309279924218927,0.435526191383541,0.00672514537602565,0.00266633948532348,0.300758878784358,0.0342728484430869,0.00248423359399526,0.0121676550700707,0.000709735146759495
0.3,0.00139581610527994,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.65,0.000523496487837018,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,0.000172625653987866,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.5,5.4328932975132e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,-9.34236412138432e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.5,-0.000244577008216396,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,0.000170249321122943,NaN,0.00372421289794216,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.5,NaN,NaN,NaN,0.151338590879968,0.00981737055316408,NaN,NaN,NaN,0.00882194131037488,NaN,NaN,NaN,NaN,NaN,NaN
4,NaN,0.00467466054718698,NaN,NaN,NaN,0.00339837221451862,NaN,0.734609224967447,NaN,0.00163561626011011,NaN,NaN,NaN,0.0135619471998282,NaN
4.5,NaN,NaN,NaN,NaN,NaN,NaN,0.0352101762504268,NaN,NaN,NaN,0.167174035057923,0.0207042841212277,0.00385268936024331,NaN,0.00113279783538176
6,NaN,NaN,0.00440959907085458,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0102296866457363,NaN,NaN,NaN,NaN,NaN,NaN
7,NaN,NaN,NaN,0.100704780680677,0.0128254992259554,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,NaN,0.00378020299295785,NaN,NaN,NaN,0.00663866873734709,NaN,0.658127222513291,NaN,0.00238814652853496,NaN,NaN,NaN,NaN,NaN
8.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0148433187980902,NaN
9,NaN,NaN,0.00365642788644955,NaN,NaN,NaN,0.0346081267331528,NaN,NaN,NaN,NaN,NaN,0.00382414082650901,NaN,0.00100072570092941
9.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.206234727875093,0.0248179146211906,NaN,NaN,NaN
10,NaN,NaN,0.00282306682738296,0.0984198190379017,0.0142447087419548,0.00654556083922309,NaN,0.613359190231738,0.00885797414988278,0.00208346767302414,NaN,NaN,NaN,NaN,NaN
15,NaN,0.00205997389595231,0.00234583956838881,0.0763955078111502,0.00933407932645012,0.00374906489356259,0.0366023109696677,0.342517185885602,0.00868306934393994,0.00228766721963151,0.215568830641013,0.0168248453026306,0.00439153706834654,0.017369317649055,0.00087204021018319
20,NaN,0.00360256015266398,0.00389441566754627,0.0842592969805636,0.0124024116318945,0.00437305972807761,0.0439884047863715,NaN,0.00703513378422329,0.00323728017575016,0.272786311477636,0.0301195950261023,0.0035406835089447,0.0280960077893817,0.000987003511768701
25,NaN,0.00247749002194877,0.00397145416606947,0.079843310203188,0.0127647033243143,NaN,0.0472007950998752,0.474776286978713,0.00953292867775035,0.0015836473230279,NaN,NaN,0.00540030473825056,0.0181340457856433,0.000598688356066336
30,NaN,0.0018962106882076,0.00416611764871089,0.047802262908787,NaN,0.00539100516427425,0.0308585725237742,0.3073272394243,0.00589293447835267,NaN,0.269925157804252,0.0293982955403104,0.00470697196410373,0.0183240506403092,NaN
35,NaN,NaN,0.00268191451247092,NaN,0.0114172455550366,0.00503647162969253,NaN,NaN,0.00706020222979274,0.00189136386482253,0.306848276249752,NaN,NaN,NaN,0.00089670022298336
40,NaN,0.00132191376789858,0.00251815217589989,0.0516352677226226,0.0117118825871795,0.00356472305907849,0.0264378623306859,0.598610063833258,NaN,0.00250674720331823,NaN,0.0155228252818493,0.00268914633841871,0.0168987030421341,0.000487845840097399
45,NaN,NaN,0.00333527486344544,NaN,NaN,NaN,NaN,NaN,0.00711812441516497,NaN,NaN,NaN,NaN,NaN,NaN
50,NaN,0.00037410633430454,NaN,0.0301631701020002,0.0145405042903871,0.00417096688426107,0.0266203051167953,0.430411552077011,0.00699251646049623,0.00293384985750313,0.204226768220626,0.0276128435515278,0.00410697282559541,0.0212376131921019,0.000746682975816365
55,NaN,NaN,0.00272215779866892,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60,NaN,0.00131519537990648,0.00255570085792182,0.0177151065069902,0.0146372611436192,0.00363523104673324,0.030761073141161,0.569767608231197,0.00861005223540948,0.0020417776246364,0.249043162982969,0.0248181157829084,0.00401191990137816,0.0166793147713325,0.000550065492799333
