t,input_il6,nSOCS3RNA2_Obs
500,0.1,0.00316861447479907
500,0.1,0.00373389181363447
500,0.5,0.00601312389407894
500,0.5,0.00753328694506415
500,1,0.00751306159911644
500,1,0.00961960232103602
500,2.5,0.0107887130238933
500,2.5,0.0111555425495347
500,5,0.013374517512019
500,5,0.0138523334740925
500,10,0.0161523215149893
500,10,0.0174146418850532
500,25,0.016510682916213
500,25,0.0165584221444959
500,50,0.0148327797282577
500,50,0.0182253508709561
500,100,0.0156459456604407
500,100,0.0167809998861968
500,500,0.0164444743264959
500,500,0.0184932574448067
