t,JAK1_gp130_Obs,nSTAT3_Obs,nSOCS3RNA2_Obs,Compound_1_Obs
0,0.691585411513048,10.5509768254188,0.00472838925563386,6.16184010711892
8.5,NaN,NaN,NaN,20.650061343396
10,NaN,25.0136139810249,0.00867364525790559,NaN
20,0.247950885746423,NaN,NaN,18.9332496806601
25,NaN,18.2577710721048,0.0157623340160826,22.2095134575073
35,NaN,19.5799396156256,NaN,21.5875723655789
40,0.282610541968283,NaN,0.0176429226830085,NaN
50,NaN,21.078024425933,0.0163359141708525,21.5945239759735
60,0.226321670639581,NaN,NaN,23.3068123157318
65,NaN,23.3870653301538,NaN,NaN
70,NaN,NaN,0.0173286558358735,NaN
75,NaN,NaN,NaN,22.2125779232771
80,0.227726580595299,23.0354735377698,NaN,NaN
85,NaN,NaN,0.0151176706365375,NaN
90,NaN,NaN,NaN,21.851469234698
100,0.253254834833688,22.8764308361699,0.0179447463561719,18.1814768049263
150,0.199956916832922,26.2495642497158,0.0169410880651453,21.1088256120282
200,0.223737124605402,NaN,NaN,NaN
250,0.225436141145502,NaN,NaN,NaN
300,0.182350302316638,NaN,NaN,NaN
