t,JAK1_gp130_Obs,nSOCS3RNA2_Obs,Compound_1_Obs
0,0.558926021576258,0.00387977959551874,8.82888243392849
85,NaN,NaN,9.89458159246192
90,0.54314729836628,NaN,NaN
150,NaN,0.00380779239309995,8.91992271330898
200,0.7142027617845,NaN,NaN
250,NaN,NaN,10.0248552295771
300,0.725077230975639,0.00396660252759624,NaN
400,0.815915359561442,NaN,8.8906617324293
450,NaN,0.0040778012914103,NaN
500,NaN,NaN,9.75036489915744
550,0.760301130788125,NaN,NaN
650,NaN,0.00436044836913982,8.83860777406851
700,0.617385739272533,NaN,NaN
850,NaN,0.0042411872327129,11.4013025360203
900,0.57316050952701,NaN,NaN
1000,0.722945181568374,0.00332353614070815,11.3016107663965
1500,NaN,0.00420543090220883,NaN
