t,input_il6,nSOCS3RNA2_Obs
57,0,0.000468142725852015
57,0,0.000755098617767854
57,0.5,0.000596120206283427
57,0.5,0.000357053888720357
57,1,0.00303379621811433
57,1,0.00100609505790242
57,2.5,0.00679932080695235
57,2.5,0.00747886700247392
57,5,0.0127156369265914
57,5,0.0112197466456365
57,10,0.00354130429721575
57,10,0.00225260962510132
57,25,0.00947972167247231
57,25,0.0100879109271586
57,50,0.00381492876345854
57,50,0.00550292232138958
57,100,0.0112695976306466
57,100,0.0101234032399647
57,500,0.0133595423451774
57,500,0.0115338542945533
