t,input_il6,nSOCS3RNA2_Obs
220,0.1,0.00375753770140628
220,0.1,0.00145314829227525
220,0.5,0.00349007113410329
220,0.5,0.00453784674903574
220,1,0.00348673565718552
220,1,0.00274059153320183
220,2.5,0.0126714296878872
220,2.5,0.0124910862203205
220,5,0.0171132934515328
220,5,0.0177403915205527
220,10,0.00578112832853463
220,10,0.00438941300739361
220,25,0.0142025920815916
220,25,0.014888811788637
220,50,0.00941199902598913
220,50,0.00713447798741027
220,100,0.0171705020876511
220,100,0.0149515501333482
220,500,0.0199627643426675
220,500,0.0175266596254656
