t,AC_Fsk_Obs,RII_2_Obs,Compound_1_Obs
0,0.116913852773171,0.0576138499402044,0.264339776994927
4.5,0.115108446138724,NaN,NaN
5.5,NaN,NaN,0.787227832365774
9,-0.0304349963647664,NaN,NaN
9.5,NaN,0.0458815845394459,NaN
10,NaN,NaN,0.745489383096764
15,-0.031565861196708,NaN,NaN
20,0.00493296815223859,0.0485437493778832,0.700295697281983
25,0.026974450247466,NaN,0.693744644182251
30,NaN,0.0574091277203846,NaN
35,-0.0492645856668098,NaN,0.639435585128149
40,NaN,0.0521195666539568,NaN
45,NaN,NaN,0.660462504417428
55,NaN,0.0514177915605769,0.652490724558183
70,NaN,0.0571811513455303,NaN
85,NaN,0.051292066663595,NaN
100,NaN,0.0510562261274459,NaN
150,NaN,0.053912947386885,NaN
