t,Ins_Obs,IR1_Obs,IR1in_Obs,Uptake1_Obs,Uptake2_Obs,InsulinFragments_Obs
0,7739.07905852444,0.0118508365121687,0.11208779301304,0.099706763615329,8.66274736230101,0
2.5,2636.20379886921,NaN,NaN,NaN,NaN,NaN
4,NaN,12.3797294622762,NaN,NaN,NaN,NaN
4.5,1866.31408026958,NaN,NaN,NaN,NaN,NaN
5.5,NaN,NaN,30.1148002515539,NaN,NaN,NaN
7,2387.49443529626,NaN,NaN,NaN,NaN,NaN
8.5,NaN,9.20777406409033,NaN,NaN,NaN,54.6397472162501
9,NaN,NaN,NaN,43.2966074449425,1086.00630423839,NaN
9.5,2178.07165484525,NaN,NaN,NaN,NaN,NaN
10,NaN,NaN,56.3700956914094,NaN,NaN,NaN
15,1636.57819707751,5.9882184762306,39.6807277380282,NaN,NaN,107.123750466824
20,2473.00532338654,5.0863139918225,NaN,56.8339884017821,1643.16669097489,NaN
25,3056.95779227405,5.88841473533299,57.3884133377354,40.0417447150729,NaN,146.150780710364
30,1911.35029598496,7.05466700969223,56.7251865398885,NaN,2162.70330316916,NaN
35,2121.82269699919,NaN,NaN,44.9816605312785,NaN,288.471923334106
40,2528.46693394295,6.73319249682766,45.6578751177373,NaN,1034.99723487357,NaN
45,NaN,NaN,45.3691405924766,NaN,NaN,355.170899862007
50,NaN,7.8645460414589,NaN,76.6835300558777,1733.6181052571,NaN
60,NaN,NaN,42.5833680465475,67.5340056170145,NaN,487.875975618914
65,NaN,6.86694629287462,NaN,NaN,1945.8016484767,NaN
70,NaN,NaN,51.2760341611422,NaN,NaN,430.174348567476
75,NaN,NaN,NaN,70.5566631844407,NaN,NaN
80,NaN,NaN,NaN,NaN,2653.7706877884,NaN
85,NaN,NaN,54.1641862002815,NaN,NaN,470.039045347629
90,NaN,NaN,NaN,80.2925141620954,NaN,NaN
100,NaN,NaN,50.6943584090557,98.0160860393739,1561.34021317991,963.078752467498
150,NaN,NaN,NaN,73.3157217297424,1924.02544755053,1200.57805308541
200,NaN,NaN,NaN,118.21077570637,2320.04349024143,1939.78789038353
