t,Ins_Obs,IR1_Obs,IR1in_Obs,Uptake1_Obs,Uptake2_Obs,InsulinFragments_Obs
0,908.821963365826,0.0120695493442181,0.0127154937957138,0.0866348172424526,1.01901805536458,0
3,162.407462884182,NaN,NaN,NaN,NaN,NaN
5,NaN,3.48173468510795,NaN,NaN,NaN,NaN
6.5,188.662666215158,NaN,NaN,NaN,NaN,NaN
8,NaN,NaN,NaN,NaN,483.420455676087,NaN
9,NaN,NaN,NaN,11.5187031235684,NaN,NaN
9.5,103.935992420121,NaN,10.2889417801162,NaN,NaN,12.9760621254678
10,NaN,2.3828476372611,NaN,NaN,NaN,NaN
15,99.2260384210873,1.87663721650983,NaN,NaN,556.802794199119,NaN
20,99.1650642435629,1.70769478956788,11.3373076103229,15.0346909558045,NaN,41.7795161683036
25,NaN,2.14853317438118,NaN,13.4107630642402,804.729792969829,NaN
30,91.1143023513088,NaN,10.907371775331,NaN,NaN,81.0465380255553
35,116.410889995783,1.02934888461811,NaN,13.3494074651356,752.4768008761,NaN
40,79.7652327979028,1.67409760433191,9.46152699531345,NaN,NaN,93.5641942708072
45,NaN,NaN,NaN,NaN,723.151967552903,NaN
50,78.3157685817187,1.92491986354021,9.23586677097285,16.060373435352,NaN,145.699466933546
55,NaN,NaN,NaN,NaN,654.84606569693,NaN
60,NaN,1.40560393639012,NaN,17.0590088542572,NaN,NaN
65,NaN,NaN,9.45617427900596,NaN,NaN,238.453817060238
70,NaN,NaN,NaN,NaN,554.886213026018,NaN
75,NaN,1.17858993859734,NaN,13.9497827125546,NaN,NaN
80,NaN,NaN,7.81540718730107,NaN,NaN,280.082646001557
85,NaN,NaN,NaN,NaN,662.295364265103,NaN
90,NaN,0.93505380053776,NaN,19.7636268946918,NaN,NaN
100,NaN,1.38596416834205,6.75498540588135,16.5176702792664,615.238629019763,245.855174355568
150,NaN,NaN,8.57906242040183,16.2993962635187,1033.45559724634,527.515404487417
200,NaN,NaN,3.95426378351074,22.516050299516,858.332301875566,568.332745209915
