t,Ins_Obs,IR1_Obs,IR1in_Obs,Uptake1_Obs,Uptake2_Obs,InsulinFragments_Obs
0,88.4075362008054,0.000976340132842254,0.00107073152795264,0.00908355128641182,0.103113058520768,0
3,12.676089082538,NaN,NaN,NaN,NaN,NaN
4.5,NaN,0.396527255833013,NaN,NaN,NaN,NaN
6.5,11.7526217797115,NaN,NaN,NaN,NaN,NaN
7,NaN,NaN,NaN,1.19520941482693,NaN,NaN
9,NaN,0.280030241823076,1.06447255806223,NaN,39.6911522543724,1.92634809954313
10,11.4016027344586,NaN,NaN,NaN,NaN,NaN
15,9.08020518937918,0.191163510991456,NaN,1.47413253574998,NaN,NaN
20,9.66256584419148,0.203811683943957,0.981896121701256,1.01862316897798,73.1120329553228,5.82654085975043
25,6.56850538544551,0.128617786511191,1.15542174924363,NaN,84.4433972487949,NaN
30,5.8438369301598,0.171208571773061,NaN,1.38516084720225,NaN,9.31367874510589
35,5.59453089539945,NaN,0.668949438219679,NaN,69.7031514539429,NaN
40,NaN,0.144332327150417,NaN,1.38337761167214,NaN,15.2545625685762
45,5.5804091795626,0.103172663544541,NaN,NaN,NaN,NaN
50,5.88239062604964,NaN,0.833433164494329,0.856389740301492,93.2963460079278,20.3839036021365
55,NaN,0.0984468760101329,NaN,NaN,NaN,NaN
60,NaN,NaN,0.780933332652492,0.891704408865298,83.8660207496336,NaN
65,NaN,NaN,NaN,NaN,NaN,28.250045554947
70,NaN,0.110878646676347,NaN,1.5320176077807,NaN,NaN
75,NaN,NaN,0.651729757995843,NaN,110.291783647008,NaN
80,NaN,0.0857312371754293,NaN,NaN,NaN,40.4639568658431
90,NaN,NaN,0.769325119077057,1.46206110380102,75.6619121860389,NaN
100,NaN,NaN,0.61344342423525,1.57658744653374,102.761812292035,30.268811101494
150,NaN,NaN,0.48075493332084,1.76954500450054,98.2613682426066,51.8729600451798
200,NaN,NaN,0.410318238655013,NaN,99.6823432269947,NaN
