t,EpoR_Obs,Epo_EpoR_Obs
0,754.910729211768,0.0891363970650195
20,NaN,249.630689905367
30,272.712866052828,NaN
45,NaN,133.619801029038
60,168.891145161201,NaN
70,NaN,58.9131720066455
90,254.749561100158,NaN
95,NaN,73.3912828645644
100,NaN,90.1811396476874
150,257.023530382218,68.6313192852909
200,320.872773707407,44.7810281212286
250,354.76800556211,31.460849453197
300,538.770008773906,NaN
350,569.100023642281,31.0990540627696
400,NaN,15.1845325759345
450,537.524284956733,16.6955685687709
500,733.667730781788,NaN
600,760.740926158459,NaN
750,565.680899759693,NaN
