t,K27me0K36me1_Obs,K27me0K36me2_Obs,K27me1K36me2_Obs,K27me2K36me1_Obs,K27me2K36me3_Obs
0,0.00591955924994322,0.133797280905155,0.61019580503208,0.0234244667571211,0.00878418587810592
3.5,NaN,0.109987803269643,NaN,NaN,0.00635333511437661
4,0.00096769071331154,NaN,0.654434211154531,0.0145852358656159,NaN
7,NaN,0.0467318640513911,NaN,NaN,0.00797135441772043
7.5,NaN,NaN,0.633057740803586,NaN,NaN
8.5,0.00061598458855982,NaN,NaN,0.012797259294769,NaN
10,NaN,0.0579080329109367,0.759435260251679,NaN,0.00868874487170107
15,0.000569165346490718,0.0486742398724306,1.09159923362365,0.0152766132585451,0.00817007764547873
20,0.000234668798052484,0.0214769561406131,NaN,0.0178708127088043,0.00998135177230974
25,0.000306591330158787,0.0176393467410638,0.833873777266877,0.0194481140952476,0.00649147887932133
30,0.000256066067583436,NaN,0.402052678861126,0.0161091905241681,NaN
35,NaN,0.0224404870949407,NaN,NaN,0.00930029063430506
40,8.51350598819248e-05,0.0115343498784016,0.642008986457092,0.0295774067996965,0.00993719841516769
50,6.23491860554732e-05,0.00502742524232498,0.850735191059493,0.0320188225260656,0.0136231155807425
60,2.95495444555186e-05,0.00326059249409757,0.786090736713531,0.0204653156087529,0.0132105401772125
