t,Epo_EpoR_Obs,dEpo_e_Obs
0,-20.0688576338555,100.247878992475
30,167.045158934568,-13.0176160560847
60,127.348298772324,NaN
65,NaN,-14.9741741175818
90,134.213068151244,NaN
100,113.300777940924,369.496637629847
150,102.883922214448,444.79208976528
200,112.350554844308,502.833333407652
250,81.3723045129852,518.520457464046
300,55.4935544055568,NaN
350,87.9092636562681,923.589415999168
400,71.1735386184843,968.196284637776
500,67.6944659817317,1087.81364152967
550,51.1308613576553,NaN
600,NaN,1405.27401624548
650,26.0025346843267,NaN
750,NaN,1418.54112221416
