t,Naive_Obs,EarlyEffector_Obs,LateEffector_Obs,Memory_Obs,Pathogen_Obs
0,9382.71371392217,0,9.97015319137068,12.0235401879818,1.03623854711121
2,NaN,286.116077656009,NaN,NaN,NaN
2.5,1750.98052442932,NaN,108.001776945564,NaN,1.23657377054592
3,NaN,NaN,NaN,14.6246878232647,NaN
4,NaN,557.714342724266,NaN,NaN,NaN
4.5,NaN,NaN,407.306384345219,NaN,NaN
5,510.533336867671,NaN,NaN,NaN,NaN
5.5,NaN,NaN,NaN,NaN,1.52595583501364
6,NaN,2086.15508443787,NaN,81.8911285543314,NaN
7,NaN,NaN,1436.55470603602,NaN,NaN
8,85.9152388660867,NaN,NaN,NaN,NaN
8.5,NaN,6367.99853763209,NaN,NaN,1.52396399306356
9,NaN,NaN,NaN,323.86790113599,NaN
9.5,NaN,NaN,5124.74772781608,NaN,NaN
10,21.4172234759648,5724.2507827954,3927.48899826158,387.037630902037,1.32324406918155
15,1.62928241235234,3791.78169772539,7913.27973712408,1745.66874308562,0.140982406625801
20,0.112669965283211,543.167437817368,5051.28274818896,3337.73707302768,0.00998876179750558
25,NaN,NaN,5533.97123089276,3908.842234223,0.00247014216180908
30,NaN,NaN,NaN,6164.28771452911,0.0017064033044537
35,NaN,NaN,2359.36792198113,5289.19790092853,NaN
40,NaN,NaN,1548.96862658809,NaN,0.00118651967050068
45,NaN,NaN,1147.04004318537,6503.42132050973,NaN
55,NaN,NaN,861.308109647864,7099.65230390132,NaN
70,NaN,NaN,NaN,7603.03719206522,NaN
