t,pApA_Obs,Compound_1_Obs,Compound_2_Obs
0,-1.19935691827473e-07,45.0812153842272,75.1808765608173
10,8.67553497927308e-06,NaN,NaN
15,NaN,221.324576706173,NaN
20,3.64465110850899e-06,NaN,NaN
25,NaN,NaN,201.440471509216
30,NaN,241.398376382562,NaN
35,1.89354559183094e-06,NaN,NaN
45,1.90269423513297e-06,199.670854259872,NaN
50,NaN,NaN,190.280465668254
65,1.25438817530091e-06,167.851834937099,NaN
80,1.35162043656256e-06,NaN,218.401394258166
85,NaN,167.240458196985,NaN
100,5.42537615622041e-07,166.69707097505,207.273172930007
150,NaN,124.62560673729,190.156196777883
200,NaN,102.350879421576,169.745671175049
250,NaN,76.8273093781742,186.217194162159
300,NaN,80.4449015560653,170.132698693682
350,NaN,55.285700541098,NaN
400,NaN,NaN,130.725414019357
450,NaN,NaN,119.733870391253
550,NaN,NaN,115.066280999832
650,NaN,NaN,145.390012764324
