t,EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,SHP1Act_Obs,CISnRNA2_Obs,CISnRNA3_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,0.00433630741524043,0.00023730730653897,0.00850765770200347,0.842758004388635,3.0830866440308,-1.61018459604916e-05,212.974252854956
9,NaN,0.0152454580252992,NaN,NaN,NaN,NaN,NaN
10,NaN,NaN,NaN,-4.13139246197139,NaN,NaN,NaN
15,0.0808721620646237,NaN,0.0154014427534085,NaN,-4.57083015903555,-7.69328281008769e-05,187.52039100394
20,NaN,0.0193835938190682,NaN,NaN,NaN,NaN,NaN
25,0.0524877770799434,NaN,NaN,11.8811148566485,5.28192890623675,NaN,NaN
30,NaN,0.00927262258395588,0.0357010730783107,NaN,NaN,NaN,212.878312478064
35,NaN,NaN,NaN,19.2754785215363,NaN,4.11268861744239e-05,NaN
40,0.0366421459692433,0.00467709482379899,NaN,NaN,19.5439617125189,NaN,NaN
45,NaN,NaN,0.0485750759024155,NaN,NaN,NaN,268.496585956713
50,NaN,0.00488112772157617,NaN,45.1101744566706,NaN,NaN,NaN
55,NaN,NaN,NaN,NaN,NaN,0.000419705376044037,NaN
60,0.0308915242358701,NaN,NaN,NaN,47.5745878908868,NaN,NaN
65,NaN,0.00442367249823373,0.053423336874195,62.7137858526582,NaN,NaN,199.175042008543
75,0.0273508064690184,NaN,NaN,NaN,53.6099277643908,0.000763132628512648,NaN
80,NaN,0.00267807050005554,NaN,63.7500295728263,NaN,NaN,NaN
85,NaN,NaN,0.0479662455314707,NaN,NaN,NaN,223.887011207052
95,0.0286370746364697,NaN,NaN,NaN,NaN,0.000947189442844148,NaN
100,0.0205499359552605,0.00122914787548916,0.0496908891225731,58.2067140350689,64.8619596011273,0.000976588292641763,194.857240631129
150,0.0257498469959143,NaN,0.0660357285292903,46.3480524694354,53.4088659173925,0.00127661177306163,180.100934482506
200,0.029155267115355,NaN,0.0625704021785647,42.7226037217401,36.4885386820127,0.00183328684047222,254.927592814013
250,NaN,NaN,0.0580719471938283,42.4787083498639,39.6599737192564,0.00183131425927544,185.082165416802
300,NaN,NaN,0.0618067678145929,42.910336622896,42.6243043501316,0.00171087667658175,202.973719691801
