t,EpoRJAK2_Obs,EpoRpJAK2_Obs,p1EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,SHP1_Obs,SHP1Act_Obs,STAT5_Obs,pSTAT5_Obs,CISnRNA2_Obs,CISnRNA3_Obs,CISnRNA5_Obs,CIS_Obs,SOCS3nRNA2_Obs,SOCS3nRNA4_Obs,SOCS3nRNA5_Obs,SOCS3RNA_Obs,SOCS3_Obs,SOCS3nRNA1_Obs
0,2.17650895567939,0.000104781152389433,9.41156162378477e-06,9.77936235219453e-05,24.1939636155911,0,51.2304275143189,0,10.6480475267217,0,9.21313959742119,0,1.06659655087743e-06,1.25991645424952e-06,9.4047509976327e-07,9.3863311226768e-05,0.12165580622706,1.03684370056748e-06
15,2.10906184382381,0.107868567743679,NaN,0.0595779054710124,NaN,NaN,NaN,NaN,262.225233450127,66.250472563194,10.8170515313792,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,NaN,NaN,0.0124323918439065,NaN,20.7419393325109,NaN,NaN,18.0541803759343,NaN,NaN,NaN,0.0189417839753702,NaN,NaN,NaN,NaN,NaN,NaN
30,NaN,0.0761400418075593,NaN,NaN,NaN,NaN,21.9596501810725,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00129009450095224,NaN,NaN,NaN
35,2.16852445047498,NaN,NaN,0.0277467939041119,NaN,NaN,NaN,9.58751512707362,2423.34935040556,1182.06725884104,246.686965726198,NaN,0.00125984357194764,0.00127608836897336,NaN,NaN,4.50624542652862,0.00133282354727264
40,NaN,NaN,NaN,NaN,27.2924160190073,0.108742074132202,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0210879847238015,NaN,NaN
45,NaN,NaN,0.00578515580343761,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.13695571036371,NaN,NaN,NaN,NaN,NaN,NaN
50,NaN,0.0719838872793956,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2279.68893829768,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,2.10761585863854,NaN,NaN,0.0171912933599932,NaN,NaN,NaN,5.39485982119968,3243.17736043617,NaN,1356.78335265952,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,28.2893762346177,NaN,38.8359094703762,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00116814436363545,NaN,NaN,NaN
65,NaN,0.059403604308439,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000861411474557667,NaN,NaN,10.6448894525411,0.000803301075910513
70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3155.7404587965,NaN,16.1422769517339,0.000893178048848543,NaN,NaN,NaN,NaN,NaN
75,2.25440055221658,NaN,0.00370135335081999,0.0165051834079613,NaN,NaN,NaN,2.85388666403364,2531.99227377742,NaN,2400.45382634119,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85,NaN,0.0590547304561218,NaN,NaN,26.3575715408813,0.142975819459235,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0473370145831398,NaN,NaN
90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2499.32878204332,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95,2.19040674742781,NaN,NaN,NaN,NaN,NaN,49.0020241009531,NaN,1926.63712724677,NaN,2492.45286909201,45.5037903970248,NaN,NaN,0.000575127051103224,NaN,NaN,NaN
100,2.04880328553745,0.0539342309353827,0.00381339877767842,0.0110076266853214,28.3788883586001,NaN,NaN,2.06831479483583,1828.94643979072,2030.11557305542,2231.73424427827,NaN,0.00039835399202636,0.000350925179964332,NaN,NaN,13.8045845382806,0.000428327338194394
150,2.21716112263353,0.0600124409705464,0.0035431745263352,0.0107726978976013,25.7385504824741,0.135539918913928,39.8657141226676,1.84082381125749,799.951089048961,925.845761608646,1573.23106784994,69.3853273819799,0.000278119075980709,0.000233913853683546,0.000261309125493037,0.0369449020992238,14.2597121977856,0.000276938503515931
200,NaN,0.0462473049677165,0.00357897209535415,0.011364319361793,28.1384315279326,NaN,37.7196692539111,1.68439934225945,672.061765172599,626.058839763934,916.07248873227,46.4785574020855,0.000250167767651533,0.000225107416147825,0.00023425480259022,0.0384635232793314,13.1732709778361,0.000194077245371341
250,NaN,0.0568419832747941,NaN,0.0136029908925435,NaN,0.151829802177771,45.9469774564566,1.75856407116812,676.549723497839,691.1890065179,798.228003903274,34.3838288131189,0.000207174162413628,0.00023196263822549,0.000213780158107626,0.0475596905306352,12.1338735365373,0.000202517620362227
300,NaN,0.0568016389674487,NaN,0.0137942988235651,NaN,0.165317325426784,45.7340856135574,1.90407137333173,606.655308372956,533.802332669105,779.537061399719,30.8018788357591,0.000239520408379589,0.000226801468178136,0.000229407054460945,0.0358793558571452,11.4744573509636,0.000248878374797539
350,NaN,NaN,NaN,NaN,NaN,0.176568100557941,38.5321672160134,1.63999608827052,NaN,NaN,NaN,25.8126847051464,0.000244782814760621,NaN,0.000271536128493638,0.0343344624793603,NaN,0.000219772606365002
400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000244917228499135,NaN,NaN,11.7256548318038,NaN
450,NaN,NaN,NaN,NaN,NaN,0.162838760645698,41.2456286472687,NaN,NaN,NaN,NaN,23.8341622027403,0.00024407619568955,NaN,NaN,0.0379448666084406,10.5146455789575,0.000227572216926468
500,NaN,NaN,NaN,NaN,NaN,0.180244378322303,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
550,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0344167363006535,10.1551759343386,NaN
650,NaN,NaN,NaN,NaN,NaN,0.181697175659111,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
700,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0341168356807358,NaN,NaN
750,NaN,NaN,NaN,NaN,NaN,0.160755812878916,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
