t,SHP1Act_Obs,CISnRNA3_Obs,SOCS3RNA_Obs
0,0,0,9.10594308499901e-05
8,NaN,12.46349723264,NaN
10,0.156703946915336,NaN,0.00113962827647095
15,NaN,216.952515692892,NaN
25,0.258961289059279,1030.12264528149,0.0159919116203307
35,0.296098462589131,2753.10555532998,0.0365579240695891
45,NaN,3804.87239815099,NaN
50,0.277524883454423,NaN,0.0521378530288666
55,NaN,4260.58005105733,NaN
60,0.431290217560372,NaN,NaN
70,NaN,4955.85315420632,0.0617900795939674
80,0.385577992604275,NaN,NaN
85,NaN,4522.20145520246,NaN
90,NaN,NaN,0.0789314788987473
100,0.392774100078808,3333.35230647534,0.0781352482799127
150,0.461705543816576,2039.05490088953,NaN
200,0.477710976351948,1225.77032833452,NaN
