t,p1EpoRpJAK2_Obs,SHP1_Obs,SHP1Act_Obs,pSTAT5_Obs,CISnRNA3_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,1.02755402964394e-05,154.339902746807,0,0,0,0.000103759053799141,0.0104370807076123
6.5,NaN,NaN,NaN,8.06954335741294,NaN,NaN,NaN
7.5,0.0108579383326433,NaN,NaN,NaN,NaN,NaN,NaN
9,NaN,NaN,NaN,NaN,2.43462667925144,NaN,0.0246605245814831
10,NaN,138.337456210895,0.150435235476092,NaN,NaN,0.000204868032894064,NaN
15,0.00450493809830493,NaN,NaN,5.4684009257938,NaN,NaN,NaN
20,NaN,NaN,NaN,5.35719715498526,98.6483525931715,0.001935949063809,0.558485481546036
25,0.00315239485675425,134.045680761265,0.262333877103383,NaN,NaN,NaN,NaN
30,NaN,NaN,NaN,5.57423483805226,351.621976539073,NaN,1.27701880093374
35,0.00261863239903892,140.208884716568,0.283009543346768,4.45274099037407,NaN,0.00755035095482059,NaN
40,NaN,NaN,NaN,NaN,774.167189304458,NaN,2.37674154458345
45,0.00184369767298142,NaN,NaN,3.45547840541162,NaN,0.0116852545175341,NaN
50,NaN,133.506582030155,0.287088827801141,NaN,903.525868858775,NaN,3.9029184233897
55,0.00154145421644279,NaN,NaN,2.90186736261907,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,NaN,0.0141376253442129,NaN
65,NaN,157.162230073416,0.315060439410329,2.12019590284038,1410.44370567438,NaN,4.94437414039777
70,0.00155086138207299,NaN,NaN,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,NaN,0.0164842414093803,NaN
80,NaN,149.033433263414,0.319045583789387,1.843427396817,1202.78882329008,NaN,4.73635159371837
90,0.00137997600258125,NaN,NaN,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,1.60228311136829,1205.96562354745,0.0194790100655286,NaN
100,0.00127375348939131,146.915971414346,0.358802242143268,1.42736876029301,1152.33728202932,0.0205246480399758,6.31227243167098
150,NaN,138.427424803931,0.389984841411945,1.27108558570288,495.579101403063,0.020728452883303,6.90422260503435
200,NaN,129.859469016443,0.345769582099171,NaN,504.393007159816,0.0272970926883399,NaN
