t,EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,EpoRJAK2_CIS_Obs,SHP1Act_Obs,CISnRNA3_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,-0.00352244699429119,-4.00420746726127e-06,0.998638337067572,0.0209620180297786,43.8360406160684,0.000833861615748262,0.405878898433052
10,0.234436176705523,NaN,0.0626577433148358,NaN,-89.9560356488944,NaN,NaN
15,NaN,9.45771174332437e-06,NaN,0.0727670079766594,NaN,-0.000993378854685365,1.45017500233339
20,0.161281740083566,NaN,0.0314160077139052,NaN,107.108437652868,NaN,NaN
30,NaN,NaN,NaN,NaN,NaN,NaN,1.19944327749269
35,0.110813766716078,2.3697732678075e-05,0.00311490482083549,0.115155631902786,531.331923130256,0.00536654771031935,NaN
45,0.101785435392493,NaN,NaN,NaN,602.400309416821,NaN,2.29400791234355
50,NaN,NaN,0.00608813768242275,0.130102186727336,NaN,NaN,NaN
55,NaN,2.37509103734177e-05,NaN,NaN,1068.03036643348,0.00953626162110521,NaN
60,0.0813400454312013,NaN,NaN,NaN,NaN,NaN,5.22349456106768
65,NaN,NaN,0.0122504032585425,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,0.137607105196144,1597.59341332747,NaN,NaN
75,0.0828214850826072,1.28609548593621e-05,NaN,NaN,NaN,0.0183252057477004,NaN
80,NaN,NaN,NaN,NaN,NaN,NaN,6.19750212899558
85,NaN,NaN,-0.0243105082715554,NaN,1594.55282763426,NaN,NaN
95,0.0649872927975579,NaN,NaN,0.158904781934052,NaN,0.0224401507521235,NaN
100,0.06629187203509,1.64741620651047e-05,NaN,0.158833269095221,1413.86329128267,0.0271481907125554,7.03745323053664
150,0.0545228241059953,6.6161973925121e-05,NaN,0.165892930259426,815.665993673016,0.031886528278753,8.55895657640201
200,NaN,0.000125345054080005,NaN,0.166314057854403,779.166345821859,0.0288412593452816,9.59010419103589
250,NaN,0.000253246072458608,NaN,0.190949651066633,781.402919232163,0.0324569057742615,10.4895035810846
300,NaN,0.000521675016016536,NaN,0.160320959509272,748.256043102664,0.0356462210230139,10.3060372524634
