t,EpoRJAK2_Obs,EpoRpJAK2_Obs,p1EpoRpJAK2_Obs,SHP1_Obs,SHP1Act_Obs,pSTAT5_Obs
0,2.26534797851523,-0.00415788592751813,0.000822863963359471,22.1548273871935,0.00501007313391529,0.131462297941956
10,NaN,NaN,NaN,23.1824679575675,NaN,28.7398496297098
15,1.47680839841214,0.0951500654279313,0.0150911696437924,NaN,NaN,NaN
25,NaN,NaN,0.0117154482155443,22.117885930044,0.105524583042968,18.0587168480111
30,2.27155391266869,0.0820279891245664,NaN,NaN,NaN,NaN
35,NaN,NaN,NaN,24.3492395169771,NaN,16.114400107688
40,NaN,NaN,0.00894246463512409,NaN,NaN,NaN
45,2.40772345685692,0.0670078897157839,NaN,NaN,0.141285280810615,NaN
50,NaN,NaN,NaN,25.9717470878583,NaN,10.2556566029488
60,NaN,0.0736995253201996,0.00689311346336366,26.3702841175055,NaN,NaN
65,2.22900874347238,NaN,NaN,NaN,NaN,8.07449860919709
70,NaN,NaN,NaN,NaN,0.191199561327095,NaN
75,NaN,NaN,0.00633809940906605,NaN,NaN,NaN
80,NaN,0.0550643452531742,NaN,25.6873944146891,NaN,5.99689168350396
85,2.52964729904065,NaN,NaN,NaN,NaN,NaN
95,NaN,NaN,0.00696509543071451,26.9478950530442,NaN,NaN
100,2.26706456279719,0.0797612450846442,0.00630952256904104,26.598893945389,0.174805774378204,6.83199293070881
150,2.29371945579362,0.0626621432545716,0.00552185105602317,22.2961173166599,0.174545638826427,2.11245349625188
200,2.62161801699089,0.052283750400686,0.00298851252786923,26.2775921145748,0.19533915063242,5.61848057241865
250,NaN,0.053889383275863,NaN,NaN,0.211459626070788,NaN
300,NaN,NaN,NaN,NaN,0.180026635931074,NaN
350,NaN,NaN,NaN,NaN,0.193964731331098,NaN
450,NaN,NaN,NaN,NaN,0.217649172187779,NaN
