t,epo_level,STAT5_Obs
9,2.5e-09,45.6015355777131
9,2.5e-09,48.5640268855381
9,2.5e-09,50.1828871680114
9,7.905e-09,39.6937218263694
9,1.25e-08,36.5533174882291
9,1.25e-08,41.8994293671699
9,1.25e-08,42.0844735838342
9,1.75e-08,37.4745863487227
9,1.75e-08,38.6129130915447
9,1.75e-08,38.7336276650979
9,2.5e-08,33.9429152551691
9,2.5e-08,39.3840374793839
9,2.5e-08,40.9592933053552
9,3.95e-08,27.9204558861414
9,3.95e-08,36.7928061294674
9,3.95e-08,39.9589921472171
9,7.9e-08,26.1053945068751
9,7.9e-08,27.1135382158975
9,7.9e-08,28.6306653837744
9,1.25e-07,19.5170580106379
9,1.25e-07,21.4232795479943
9,1.25e-07,21.6844209005199
9,1.7675e-07,11.545418512981
9,1.7675e-07,16.1972434381974
9,1.7675e-07,22.6032929948448
9,2.5e-07,12.9048216150173
9,2.5e-07,13.2208747890304
9,2.5e-07,14.6968884989773
9,7.905e-07,2.39384296130954
9,7.905e-07,4.92857896228213
9,7.905e-07,5.77855558234093
9,2.5e-06,-2.64459262143747
9,2.5e-06,1.02757865872783
9,2.5e-06,2.021155949739
