t,p1EpoRpJAK2_Obs,SHP1_Obs,SHP1Act_Obs,pSTAT5_Obs,CISnRNA3_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,1.08500277650678e-05,28.6138313496293,0,0,0,8.75851373336999e-05,0.0118265991644733
5,NaN,NaN,NaN,NaN,0.081964430802233,NaN,NaN
7,NaN,NaN,NaN,20.6504137866858,NaN,NaN,NaN
7.5,0.0314087918350557,NaN,NaN,NaN,NaN,NaN,NaN
8,NaN,NaN,NaN,NaN,NaN,NaN,0.0217956306447526
10,NaN,29.8808120436429,0.0590097672389218,NaN,8.78923737161371,0.000239319459092032,NaN
15,0.0142458208780341,NaN,NaN,18.7416458471627,60.2864175163696,NaN,0.43551246016436
20,NaN,NaN,0.0921514932847488,14.1698563133141,243.298828267892,0.00423328963671974,NaN
25,0.0103693647293869,26.7118434520053,NaN,NaN,468.686476070853,NaN,2.66265308607339
30,NaN,NaN,NaN,10.4484110100166,NaN,0.0126613593449746,NaN
35,0.00796476960824725,30.5879869789092,0.103541760392347,8.31511758120967,1328.113181576,NaN,5.28388994101446
40,0.00734112475282387,NaN,NaN,NaN,1507.53217254048,NaN,NaN
45,NaN,NaN,0.120506625188082,8.3430494374275,NaN,0.0215193029603073,6.84355688948537
50,NaN,23.4435873479301,NaN,NaN,2504.95688183623,NaN,NaN
55,0.00425606971388756,NaN,NaN,NaN,3456.19930870255,NaN,11.2902963278613
60,NaN,NaN,0.118548284276065,3.89764800678407,NaN,0.0391539641318516,NaN
65,0.00391128067377306,29.3918690166974,NaN,NaN,NaN,NaN,11.160063507602
70,NaN,NaN,NaN,3.42437827839728,3136.43639640174,NaN,NaN
75,NaN,NaN,NaN,NaN,NaN,0.0458005592314124,NaN
80,0.00353758313560445,27.4237297036521,0.126574176692543,NaN,2798.05763057006,NaN,10.4760996952918
85,NaN,NaN,NaN,2.57064646676135,NaN,NaN,NaN
95,NaN,NaN,0.128748142028997,NaN,2086.1924737019,0.0420797280436308,NaN
100,0.00351502043003697,26.3821532329664,0.140436277478831,1.7949820720224,2471.76746773174,0.0473529002340852,13.1088164204747
150,0.00347716314917688,25.6450477712522,0.146551956174954,1.38195730408047,884.727364034966,0.042823995737196,13.7192490900548
200,NaN,26.3959971114665,0.171748127041686,NaN,NaN,0.0509824563627998,15.3953445545317
