t,epo_level,SHP1Act_Obs,CISnRNA3_Obs,SOCS3RNA_Obs
5,2.5e-09,-0.00862318147173366,0.0127633684341423,1.55156978183925e-06
5,2.5e-09,0.00455904841275128,0.0866999213922102,1.78761437612405e-06
5,2.5e-09,0.00526996218135629,-0.135871734995077,-1.94403775307235e-06
5,2.5e-08,0.00444666621992587,0.146679528248661,-1.65118782278262e-06
5,2.5e-08,0.00561415060102146,0.162417104437397,6.71848349608311e-07
5,2.5e-08,0.010798533951637,0.0497428350565292,-1.69735953486067e-06
5,2.5e-07,0.022038879340356,0.0859446642957691,2.76286972069443e-06
5,2.5e-07,0.048988608042385,0.162465414081487,3.18658369411241e-06
5,2.5e-07,0.0597811247416541,0.307215841267964,8.23742793158291e-07
5,2.5e-06,0.111371806329877,1.79322398874541,2.34915088926266e-05
5,2.5e-06,0.121882810444049,2.11850761631275,2.22841399113457e-05
5,2.5e-06,0.123388415277201,1.91524212824972,2.21335068814241e-05
5,2.5e-05,0.153526402361282,3.39753774549725,4.95119433036809e-05
5,2.5e-05,0.163475052742223,3.61857831666022,5.41559608528014e-05
5,2.5e-05,0.185235595325047,3.36028917595645,5.13554052238198e-05
