t,EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,SHP1Act_Obs,pSTAT5_Obs,CISnRNA3_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,0.00011598971184007,9.72888596434787e-05,0,0,0,0.000112295217710412,0.0109114544910429
8.5,NaN,NaN,NaN,NaN,2.43151119376221,NaN,NaN
9,NaN,NaN,NaN,24.3626751963109,NaN,NaN,NaN
9.5,NaN,0.112060190624668,NaN,NaN,NaN,NaN,NaN
10,0.122615062325117,NaN,NaN,NaN,NaN,NaN,0.0649941234933406
15,NaN,NaN,0.0639576896092988,NaN,79.6493593955317,0.00142795946062113,NaN
20,NaN,0.0439496680254578,NaN,14.045649982286,NaN,NaN,NaN
25,0.0892064455089342,NaN,NaN,NaN,519.54705600519,NaN,2.67512713541771
30,NaN,0.0361847478067782,0.0991034956802063,10.800310184538,NaN,0.0125362687366505,NaN
35,0.0716205453785796,NaN,NaN,NaN,1376.75801732568,NaN,5.64254311512604
40,NaN,0.0272878797916657,NaN,7.27852900225839,NaN,NaN,NaN
45,NaN,NaN,0.14117995882366,NaN,2092.77018634,0.028391420251986,NaN
50,0.0644869656971556,0.0191857312832415,NaN,6.543466801611,NaN,NaN,8.28014599026949
60,NaN,NaN,NaN,NaN,2906.0655767469,0.0405216946593155,NaN
65,0.0504652380762117,0.01945126323004,0.132905395947597,4.25728034763785,NaN,NaN,11.648008374111
70,NaN,NaN,NaN,NaN,3043.96248630086,NaN,NaN
80,NaN,0.0134375560927751,NaN,3.24296236233765,NaN,0.0407470526387714,NaN
85,0.0479044361125502,NaN,0.142823660076631,NaN,2926.85265110078,NaN,14.3384892061456
95,NaN,0.0123077029380924,NaN,2.38027180544574,NaN,NaN,NaN
100,0.0540018258340558,0.0114131612320428,0.156103257462532,2.33209209647374,1936.57367810654,0.046425498665125,13.6920063847567
150,0.0480569880010175,0.011386157308363,0.154036921594383,1.56684544097436,1036.29140061331,0.0442123527286958,13.0757540103737
200,0.0546868353851127,NaN,0.121189631073368,1.58785578258052,697.364985134932,0.0480289233949264,15.0950307621951
250,NaN,NaN,0.158945005745487,NaN,NaN,0.0377694268099799,11.8099766346848
300,NaN,NaN,0.202151623862148,NaN,NaN,0.04112216452519,11.919777822813
