t,epo_level,SHP1Act_Obs,CISnRNA3_Obs,SOCS3RNA_Obs
50,2.5e-09,-0.0151986256674722,63.7181196957628,0.00368449842989344
50,2.5e-09,0.0151270807725344,150.259768614693,0.0017994349492654
50,2.5e-09,0.0219304422919462,283.981657385456,0.00494552572830866
50,2.5e-08,0.0288895704466449,705.794420162105,0.00533308862216267
50,2.5e-08,0.0335626135154095,684.030121145236,0.0175823468423433
50,2.5e-08,0.0341072960657602,1206.62271616037,0.0121685658054115
50,1.25e-07,0.141174587645239,2584.10209825334,0.0234273235561847
50,1.25e-07,0.145482808135685,2538.14913960543,0.0316292077109144
50,1.25e-07,0.154291149171632,1877.31629346643,0.025208520663756
50,2.5e-07,0.175820483388971,3032.12265554846,0.0449047836555976
50,2.5e-07,0.218778998155686,3621.03151380428,0.0396584544653224
50,2.5e-07,0.221836528058008,3678.64858294875,0.0396315473198594
50,1.25e-06,0.335106719693409,4151.75667047249,0.0527859187402289
50,1.25e-06,0.364801977164472,5138.92555443429,0.050781333490432
50,1.25e-06,0.379908921639645,4434.73840163406,0.0472079953682042
50,2.5e-06,0.414691168005098,4566.09990914325,0.0531372875079541
50,2.5e-06,0.440818062711669,4382.29564135809,0.0563449601991038
50,2.5e-06,0.46713899480679,4501.63735219419,0.0486005627511393
