t,p2EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,SHP1Act_Obs,npSTAT5_Obs,SOCS3nRNA3_Obs,SOCS3RNA_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_6_Obs
0,0.000974146148979881,-0.000204260919870614,0.0081492847086047,-0.0819149675200923,-6.05883976001335e-06,-0.00021304012349155,120.612274718541,-10.5955062195199,128.074455814163,44.0308419724086,0.000820109819697195,-4.51553107199382
15,NaN,NaN,NaN,NaN,NaN,NaN,237.37597745574,108.01643603075,NaN,NaN,NaN,280.034376877869
20,NaN,NaN,NaN,9.32612849865929,NaN,NaN,NaN,NaN,471.035411300606,72.9011581033723,NaN,NaN
25,0.0821389487391264,0.0454638209272278,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.2589431726953,837.812004688297
35,NaN,NaN,NaN,NaN,NaN,NaN,818.436739155476,443.122875916497,NaN,NaN,NaN,NaN
40,NaN,NaN,0.195833015008915,6.62379954755193,0.000201540033680901,0.00910575759310676,NaN,NaN,895.291191059409,NaN,NaN,1241.88957242326
45,NaN,0.0201461835411606,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61.6928288829659,NaN,NaN
50,0.0500752013889687,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,NaN,NaN,NaN,NaN,NaN,NaN,934.86142279269,378.493269059541,NaN,NaN,15.8760223098108,1147.22105185876
60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,796.860786260929,NaN,NaN,NaN
65,NaN,NaN,NaN,3.85552114551096,NaN,NaN,NaN,NaN,NaN,55.149428877245,NaN,NaN
75,0.0373873221140168,0.0113640925125861,0.228661509057365,NaN,NaN,NaN,721.292963487432,253.024092000206,NaN,NaN,NaN,762.739884141117
80,NaN,NaN,NaN,NaN,8.29548623416918e-05,NaN,NaN,NaN,613.07980849451,NaN,NaN,NaN
85,NaN,NaN,NaN,2.78532741281426,NaN,0.0132095269095442,NaN,NaN,NaN,NaN,13.8811234227326,NaN
90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,56.4897516007897,NaN,NaN
95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,533.474599145802
100,0.0328837746549214,0.00984645906121412,0.261402499605602,2.32244918614345,NaN,NaN,474.615314036319,165.965939191514,466.921026346392,55.5176814216562,13.1652520390032,482.82115101864
150,0.0283804971146625,0.00796037524358594,0.311144668849586,1.61743247960968,5.17002198544424e-05,0.0126100738457784,319.294923766372,110.37920682503,311.365616139117,51.5593108015274,10.6695325641824,310.720350841362
200,0.0252147382348017,0.00600502598850429,0.320230374294839,1.49470855798415,4.59558254073607e-05,0.0118651289167647,333.010870862551,90.1413485749826,309.746426216031,54.5131149090082,10.1403319775481,297.222133925861
250,0.0245190636658272,NaN,0.332982819606953,1.67389735833134,4.60078922988709e-05,0.0109792753723416,302.686592119639,95.2608261814922,285.722684424981,57.1283108262207,9.07306619598669,239.925419817421
300,0.0255042758301969,0.00633825634435421,0.346922015653277,1.42420667765599,4.49461840714827e-05,0.0105876475763499,NaN,NaN,268.076038383231,54.1250028182029,8.46560768902784,NaN
350,0.0255681008816875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,286.758634572492,51.6177062784507,8.10078430191159,NaN
400,NaN,NaN,0.362370401342362,1.73556782623084,3.89206346490906e-05,0.0091960813454603,NaN,NaN,NaN,54.223759916058,7.98754090009259,NaN
450,NaN,NaN,NaN,NaN,NaN,0.00890035044746796,NaN,NaN,NaN,NaN,NaN,NaN
500,NaN,NaN,0.364380738174797,NaN,4.22752091697406e-05,NaN,NaN,NaN,NaN,NaN,7.75275022454385,NaN
550,NaN,NaN,NaN,NaN,NaN,0.0084495531460914,NaN,NaN,NaN,NaN,NaN,NaN
600,NaN,NaN,0.361804428253256,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.82594099038453,NaN
700,NaN,NaN,0.360680559649489,NaN,NaN,0.00891689678321125,NaN,NaN,NaN,NaN,NaN,NaN
