t,epo_level,SHP1Act_Obs
14,2.5e-09,0.112791679455757
14,7.905e-09,0.020876728510936
14,7.905e-09,0.0284688385851315
14,7.905e-09,0.131265334092846
14,1.25e-08,0.131960141595527
14,1.75e-08,0.128781471136498
14,2.5e-08,0.408749141010755
14,2.5e-08,0.151330991730355
14,2.5e-08,0.162761943210584
14,3.95e-08,0.159844885462873
14,7.9e-08,0.0424932083638946
14,1.25e-07,0.0442019065226691
14,1.7675e-07,0.0393781984177082
14,1.7675e-07,0.00966117364021755
14,1.7675e-07,0.0525628391417118
14,2.5e-07,0.27219521647433
14,2.5e-07,0.0139369263775376
14,2.5e-07,0.0148312934429136
14,7.905e-07,0.0175024299599882
14,2.5e-06,0.0839032219428826
