t,SOCS3RNA_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs
0,-2.56327228989992e-06,121.133380967511,0.0322246969646416,116.621255090596,146.076560693064,107.544618451063
10,NaN,125.551749194951,0.216227225392803,124.659496040888,NaN,NaN
15,NaN,NaN,NaN,NaN,148.856801951441,106.641264719147
20,1.12579489993363e-05,128.141605397758,NaN,NaN,NaN,NaN
25,NaN,NaN,1.20186278780291,127.865798505712,NaN,104.983871169302
30,NaN,NaN,NaN,NaN,143.989712171229,NaN
35,NaN,128.331007954478,2.51708031185515,NaN,NaN,NaN
40,5.15079747500596e-05,NaN,NaN,127.175115502744,NaN,97.9823479560558
45,NaN,135.628985182313,3.71550483604727,NaN,151.339295195321,NaN
55,NaN,NaN,NaN,129.678634172516,NaN,110.805297831792
60,0.000103778249034263,130.407637008379,4.4478286487454,NaN,149.719172293736,NaN
70,NaN,NaN,NaN,126.54810273527,NaN,NaN
75,NaN,NaN,3.96636299385338,NaN,138.700820268885,103.589318322555
80,NaN,133.024254758904,NaN,NaN,NaN,NaN
85,0.000136854496304854,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,125.926140428751,NaN,NaN
95,NaN,127.271590409025,3.30481637655659,NaN,150.832200717616,102.424671061287
100,0.000152638098903236,133.44961223897,3.33367850777461,125.213520837403,153.350783219945,106.062309377226
150,0.000178091277049368,128.893382105637,2.48802255184813,124.87175238287,156.156289282078,100.088212855735
200,0.000194754797298627,134.722220706625,2.04735683095315,127.523909411567,144.863692535711,104.619392277083
250,0.000186151318578282,NaN,2.00736022827094,126.829970389835,143.63435386287,101.440920424968
300,0.000186120613013165,NaN,NaN,NaN,151.237321895566,100.7877676692
