t,SOCS3RNA_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs
0,3.99960224078731e-05,287.675613271919,0.716162601694309,129.362334648076,48.132256077466,144.768997247853
8.5,NaN,261.809698875912,NaN,107.81316018922,NaN,NaN
10,NaN,NaN,9.89340677197329,NaN,NaN,NaN
15,0.000326774785269991,NaN,NaN,150.758183240729,59.433890738863,150.295638417743
20,NaN,317.538717577708,54.4553699263739,NaN,NaN,NaN
25,NaN,413.959393756616,NaN,292.983461182145,57.6431652235742,NaN
30,NaN,NaN,NaN,NaN,NaN,160.580072528061
35,0.00325671729128386,541.428844012302,192.559967787839,441.139959146232,NaN,NaN
40,NaN,NaN,NaN,NaN,58.7430039333534,NaN
45,NaN,627.94347806456,233.937361833949,514.191242721979,NaN,151.988180741004
50,0.00474326261139787,NaN,NaN,NaN,NaN,NaN
60,NaN,704.783953655672,225.939618227064,557.820401202154,54.6740712037703,151.478178727023
70,0.00705886947888076,NaN,NaN,526.290670060608,NaN,NaN
75,NaN,667.882364933611,199.894636985491,NaN,55.566278546387,NaN
80,NaN,NaN,NaN,NaN,NaN,152.347404114638
90,0.00823606174230727,610.784192437802,NaN,464.53543885691,NaN,NaN
95,NaN,NaN,165.788084024886,NaN,56.6674938347083,NaN
100,0.00858948385745313,597.247936098935,157.300687039692,426.787512910253,51.9370451722087,150.901127801132
150,0.00949936550789747,465.7688542727,110.813317443964,331.97007245735,53.930413566785,136.013595454198
200,0.010236902389171,470.129113215806,100.758246620029,297.085719255739,51.3556818506567,150.287915856335
250,0.00949138706552189,NaN,91.5260378221144,NaN,53.9699819208186,146.532289978153
300,NaN,NaN,NaN,NaN,NaN,144.935760193103
