t,p2EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,SHP1Act_Obs,npSTAT5_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_6_Obs
0,0.00221668431631949,-0.00439720588480819,0.000575049581933592,-0.116790278750678,121.79745193328,-9.73366729682986,118.00571852406,52.1451113279062,-0.168555017710075,-6.87200295733008
5.5,NaN,0.318886562452418,NaN,NaN,NaN,25.4281918077932,NaN,NaN,NaN,NaN
6,NaN,NaN,NaN,NaN,134.254155514829,NaN,NaN,NaN,NaN,NaN
7,NaN,NaN,NaN,3.6449877960243,NaN,NaN,NaN,71.8040327672864,NaN,NaN
7.5,0.253669814912002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.4086271902293,NaN
8.5,NaN,NaN,NaN,NaN,NaN,NaN,115.1343949997,NaN,NaN,NaN
9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78.3722254224659
10,NaN,0.264377636588117,0.0911100435440891,NaN,146.181663460311,40.9515354623947,NaN,NaN,NaN,NaN
15,0.124919589317523,0.118940097762012,NaN,8.59058180774926,NaN,99.714094550704,301.797939655146,73.3144698785327,27.6817312838862,NaN
20,NaN,NaN,NaN,9.39071138790741,355.725775748613,NaN,NaN,72.5760298439786,NaN,547.265788410791
25,0.0785018239299609,0.046577145032959,0.162739663854497,NaN,547.860305032428,306.990700159645,628.922839419608,NaN,24.137577804364,NaN
30,0.0714845275747778,NaN,NaN,8.44858147047458,684.10804376497,390.567088731664,NaN,69.5158091189649,NaN,1058.10538544917
35,NaN,0.0283757844280597,0.177587976831282,NaN,NaN,NaN,864.238912513016,NaN,19.6744594467028,NaN
40,0.0606247571771473,NaN,NaN,6.80950060059828,892.228069421308,451.707002687829,NaN,66.216675144511,NaN,1213.70283987625
45,NaN,0.0232766258087429,NaN,NaN,NaN,439.62570548721,930.432385566972,NaN,18.3745353887009,NaN
50,0.0503993545916053,NaN,0.208792930521416,5.08664451393867,972.493400737368,NaN,NaN,58.9138339624376,NaN,1164.36690250044
55,NaN,0.0194961701401452,NaN,NaN,NaN,396.404665883613,865.174441673464,NaN,16.3953661450699,NaN
60,NaN,NaN,NaN,4.17256478993923,857.316539882332,NaN,NaN,56.6658240408546,NaN,NaN
65,0.0388381769423739,NaN,0.226021803627868,NaN,NaN,NaN,NaN,NaN,NaN,945.146302279899
70,NaN,NaN,NaN,NaN,713.579246716789,277.812088487255,698.468005206921,NaN,15.2771045018637,NaN
75,NaN,NaN,NaN,3.05791260931245,NaN,NaN,NaN,56.3794728652277,NaN,NaN
80,0.0426395743947646,NaN,0.240434240327662,NaN,NaN,NaN,NaN,NaN,NaN,696.488238110729
85,NaN,NaN,NaN,NaN,570.093985129824,200.260349170993,576.659962837257,NaN,13.4379016374096,NaN
90,NaN,NaN,NaN,2.67218984564525,NaN,NaN,NaN,54.3054810905614,NaN,NaN
95,0.0336412849731413,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,0.0347740490797337,NaN,0.265892955691063,2.1337495915291,481.347167925542,159.389977995236,447.968846798057,53.4269577375058,12.9387375725199,481.950645401633
150,0.0287743506945737,NaN,0.305185729040748,1.62842817167365,338.641830672319,NaN,349.995988435439,51.3901259521497,10.8684771437055,314.857214534562
200,NaN,NaN,0.325908194977872,NaN,NaN,NaN,245.484970532688,NaN,NaN,290.152640283228
