t,p2EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,SHP1Act_Obs,npSTAT5_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_6_Obs
0,0.000890243770120517,0.00137741798238549,0.0115060013630203,-0.0945551533716967,117.061944821543,-0.328717200968882,106.718538814718,144.330207860049,0.00118875118998862,1.30844297809861
4.5,NaN,0.174798951844237,NaN,NaN,128.240789894347,NaN,NaN,NaN,NaN,NaN
6.5,0.14601074053141,NaN,NaN,NaN,NaN,15.683506832469,NaN,NaN,15.5231633537438,NaN
7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,157.873892910509,NaN,NaN
9,NaN,0.0733125222346895,NaN,NaN,NaN,NaN,136.758586378901,NaN,NaN,50.1012914292359
9.5,NaN,NaN,NaN,NaN,135.672835778606,NaN,NaN,NaN,NaN,NaN
10,NaN,NaN,0.183366563103375,4.11591385984006,NaN,NaN,NaN,NaN,NaN,NaN
15,0.0571283287302779,0.0249924727200883,NaN,NaN,190.939378239264,59.288937933393,NaN,165.946205120381,16.7299898790913,NaN
20,0.044989029432994,0.0156645014190428,0.261754575407192,5.54848416011865,267.821777832071,135.723175067118,349.614974147695,180.296413640009,16.1112900976421,353.497021283271
25,0.0388844404817744,0.0118645965575647,NaN,NaN,393.206335349137,NaN,433.464992367517,NaN,14.2940098535024,NaN
30,NaN,0.00799729649584726,NaN,5.0708941216502,481.323503542383,237.225913887783,NaN,170.387097161694,NaN,639.408678640986
35,0.0303774653161745,NaN,0.357338415368438,NaN,NaN,266.611984155717,568.543189021898,NaN,12.1534936765623,NaN
40,NaN,0.00596012682407391,NaN,NaN,609.989351751223,NaN,NaN,161.774574579836,NaN,755.478046009477
45,0.0212375039168047,NaN,0.387692974433494,3.62125552608233,618.929080147307,272.405204738179,NaN,167.14233897253,11.1500705003326,NaN
50,NaN,0.00395786509553053,NaN,NaN,NaN,NaN,614.911173654535,NaN,NaN,737.348780345322
55,0.0181289075703851,NaN,NaN,NaN,584.64998777509,NaN,NaN,NaN,10.0344101838196,NaN
60,NaN,0.00395899207069846,0.434885473791815,2.5038807213173,NaN,205.199021105904,531.867371827962,160.654619153376,NaN,NaN
65,0.0182961397223465,NaN,NaN,NaN,527.315458986172,NaN,NaN,NaN,9.37314417939024,559.661369461918
70,NaN,NaN,NaN,NaN,NaN,170.484736612269,NaN,151.143847111312,NaN,NaN
75,NaN,NaN,NaN,1.91788776663669,NaN,NaN,422.817779883736,NaN,NaN,NaN
80,0.0155957917240647,NaN,0.468379952706675,NaN,425.216793817193,NaN,NaN,NaN,8.92368913673053,440.702438693346
85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,151.275983305573,NaN,NaN
90,NaN,NaN,NaN,NaN,NaN,107.509773509792,367.246197369102,NaN,NaN,NaN
95,0.0135086406545958,NaN,NaN,1.5178136344142,363.44799016604,NaN,NaN,NaN,8.38975091483629,312.574752413023
100,0.0150004000980933,NaN,0.506105294786389,1.45246217529484,341.096335235461,101.442366080411,305.33687321876,158.71255428441,8.36125349651126,307.603196586292
150,NaN,NaN,0.559149027303723,1.20407768096702,NaN,69.1087381344558,248.471559286961,157.360576494369,7.11218251266767,211.427981068359
200,NaN,NaN,0.588203234703742,0.972963419602731,NaN,NaN,244.88067627956,NaN,NaN,183.542871597166
