t,epo_level,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs
36,2.5e-09,107.48566117946,-14.6840932590989,107.084368559741,51.3417350825209,0.610242657923234
36,2.5e-09,150.120874681225,-48.5784292823869,232.646549381811,51.1008497992057,1.68240141299774
36,2.5e-09,171.133151901716,-5.64047260585945,101.337312417513,48.2832364222142,1.43882581142027
36,2.5e-08,258.227761102253,136.714917538835,275.380218503995,52.45552210119,7.38568976314943
36,2.5e-08,292.85382083104,144.897220360395,364.644589132136,56.580446128613,7.82906979756043
36,2.5e-08,342.994411988655,135.053365925847,303.309040189203,51.829770550201,8.34278790620383
36,1.25e-07,809.77262465966,417.156679219017,916.480878600295,64.7969002721881,19.7246865312721
36,1.25e-07,859.883345853091,405.195105572964,958.879713179325,64.3888792178983,20.0412165733078
36,1.25e-07,890.653878432088,442.193084642224,938.832224630616,66.4139309361291,18.6334646491537
36,2.5e-07,1250.856278202,700.093942417475,1371.7275447691,73.6259454321283,28.2095283693086
36,2.5e-07,1257.32307182455,706.908741321796,1260.99888347551,71.1296519317531,28.7390573472629
36,2.5e-07,1354.79249409919,686.444272211543,1357.02343534309,73.2306163698439,29.0059253034063
36,1.25e-06,2535.99612790947,1371.98017166243,2489.47917832952,88.9080598864242,52.2623558738339
36,1.25e-06,2540.63693468231,1438.90029817594,2525.95995248282,95.937582883457,50.4917171611856
36,1.25e-06,2598.59154353338,1368.25285928041,2501.42628989767,95.8686552906014,50.9974328204083
36,2.5e-06,2826.93910462275,1619.63205283661,2823.34160334204,97.8873401974885,57.6622529548817
36,2.5e-06,2834.20606517487,1566.7768280578,2887.966206844,94.5685401797372,58.4210600001709
36,2.5e-06,2856.69887327082,1546.40152644072,2762.39163951378,99.8721500216487,56.1440924131453
