t,SOCS3RNA_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs
0,-0.000472588239594202,92.8250854297109,0.220183426456786,117.932625189656,47.7524655223182,0.301850617255326
7.5,NaN,NaN,NaN,140.776786031728,NaN,NaN
9.5,NaN,NaN,44.1776791349732,NaN,NaN,NaN
10,NaN,172.775511429285,NaN,NaN,78.5836710776183,NaN
15,0.00141685078813655,NaN,NaN,263.697477511452,NaN,28.5748904273293
20,NaN,NaN,197.200722124641,NaN,74.6808329683323,NaN
25,NaN,520.657536641798,NaN,639.435668894668,NaN,23.7494268651329
30,0.00590881167613179,NaN,389.214468902851,761.601019053134,65.9709888802551,NaN
35,NaN,836.313436955451,NaN,NaN,NaN,NaN
40,NaN,NaN,459.542878299907,912.164829799946,NaN,18.4031876324207
45,0.00958121133857642,NaN,NaN,NaN,64.908988894052,NaN
50,NaN,931.469962067691,NaN,NaN,NaN,NaN
55,NaN,NaN,367.79839816158,860.232761582374,NaN,15.3286169912952
60,0.0122849214528024,NaN,NaN,NaN,59.4592605430086,NaN
65,NaN,799.911337517139,305.768248205346,762.967544861664,NaN,NaN
70,NaN,NaN,NaN,NaN,NaN,14.1167546457224
75,NaN,NaN,NaN,NaN,53.1105864516988,NaN
80,0.0130489433153976,649.580795192041,224.474305503556,572.473992381319,NaN,NaN
85,NaN,NaN,NaN,NaN,NaN,13.8580581997959
90,NaN,NaN,NaN,NaN,56.2510367440533,NaN
100,0.0129419164442996,487.724900434252,153.910796417051,440.419043014764,54.8919440102654,13.3114372363244
150,0.0124809923708292,345.070630595119,108.192629608439,324.152144784484,54.4679291970461,10.9112832500844
200,0.0116734868036107,318.924299610676,95.3318901182793,NaN,51.8509259503669,9.89762363357876
250,0.0108154898063577,NaN,NaN,NaN,NaN,8.90147677796431
300,0.0109498442737036,NaN,NaN,NaN,NaN,NaN
