t,SOCS3RNA_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs
0,2.03954099145023e-06,127.779870170541,-0.0866225377394384,118.436898428975,148.461726035989,102.96758132163
10,NaN,120.743948826542,0.23777452048281,124.471853452183,NaN,NaN
15,5.17188728242654e-06,NaN,NaN,NaN,148.890720504675,104.15799748899
25,NaN,127.132979855443,1.05942915149281,117.621205292648,149.675581788901,96.3598951407673
35,3.64601545511729e-05,120.829627211695,NaN,118.50974300492,NaN,NaN
40,NaN,NaN,3.12979445763385,NaN,142.510681688,101.784211215551
50,8.56812590061144e-05,137.481977906938,NaN,128.78590570088,NaN,NaN
55,NaN,NaN,4.18982630713455,NaN,144.824383716765,100.020585039511
65,NaN,134.155809736275,NaN,131.058857059275,NaN,NaN
70,0.000120640378999723,NaN,4.12263268967942,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,148.184805163263,103.178324401352
80,NaN,NaN,NaN,124.393532181387,NaN,NaN
85,NaN,132.734739935906,3.66243997205468,NaN,NaN,NaN
90,0.000145341299842471,NaN,NaN,NaN,146.314813427722,NaN
95,NaN,NaN,NaN,NaN,NaN,102.515589090625
100,0.000152246003956017,130.116142710354,3.17205821214925,125.56293486438,149.190170562316,100.657871072228
150,0.000182756920028026,125.545030602254,2.30202320990395,119.420249115833,151.517352973402,104.555102389239
200,0.000185525501407644,124.725368649267,2.08347082048858,123.403981414179,139.582913736198,104.729139673525
250,0.000191428750840386,123.268583298276,2.0213642334587,120.389138665451,146.510688521775,105.235238024554
300,0.000185016925696406,NaN,NaN,NaN,NaN,100.494323250904
