t,p12EpoRpJAK2_Obs,npSTAT5_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs
0,-4.78870319217011e-05,0.0239675061689452,123.087854475272,-0.0669164359694831,117.047070152519,49.0987717530853,0.987693082432294
10,0.269076403016421,NaN,NaN,NaN,NaN,NaN,83.6703037634249
15,NaN,26.5192063820072,132.363847831119,63.9168093175755,65.5096358519621,137.551141474636,NaN
20,0.0717882054866631,NaN,NaN,NaN,NaN,NaN,84.4764188419681
25,NaN,28.975163073343,132.190948457473,NaN,NaN,122.188401849316,NaN
30,NaN,NaN,NaN,36.7850140415734,92.833255025918,NaN,63.2165674991627
35,0.0337444853242911,NaN,NaN,NaN,NaN,NaN,NaN
40,NaN,19.9398203843421,131.164945485209,NaN,NaN,90.6208495729885,NaN
45,NaN,NaN,NaN,22.7853241848082,104.927228022835,NaN,42.2024536899519
50,0.0254405936237892,NaN,NaN,NaN,NaN,NaN,NaN
55,NaN,12.2391086578252,129.15488531194,NaN,NaN,79.569868167624,29.4420551248583
60,NaN,NaN,NaN,14.662571182193,110.747954226012,NaN,NaN
65,0.0178806025113895,NaN,NaN,NaN,NaN,NaN,NaN
70,NaN,8.07991418487589,NaN,NaN,NaN,NaN,20.4121142958393
75,NaN,NaN,121.163641436537,10.6668731966826,NaN,64.7003497796075,NaN
80,0.0172459391660681,NaN,NaN,NaN,115.231747710232,NaN,NaN
85,NaN,NaN,NaN,NaN,NaN,NaN,17.2357107956339
90,NaN,5.16947345911279,126.152906919984,NaN,NaN,60.5352879231713,NaN
95,NaN,NaN,NaN,8.88337183907682,NaN,NaN,NaN
100,0.0135477769442186,4.57997270996838,125.473578333903,7.59665736366812,117.587323647483,57.1067779152748,12.7336096454359
150,0.00934034871791077,3.03212568739714,126.852492379588,5.08412095743631,118.937500214898,54.7193673447749,8.99809829735779
200,NaN,2.50353583567279,124.779132098119,4.95538075567443,122.501627535671,48.2998266720497,9.16760538635581
250,NaN,2.26403765094177,123.830959025908,3.812300628682,117.68216014992,52.8738806561747,6.96466318224177
300,NaN,NaN,NaN,4.38259118790833,NaN,NaN,NaN
