t,pApB_Obs,nucpApA_Obs
0,0.0995457718574722,0.105355402668048
15,25.5068317502428,141.483086408192
30,NaN,216.082348941121
35,25.9894140584568,NaN
45,NaN,143.650946611878
50,17.7303677202774,NaN
65,NaN,168.052545014945
70,15.7060976893717,NaN
80,NaN,128.358766497523
85,15.9847809937849,NaN
100,12.8050416101129,205.930031133989
150,7.60313922183911,87.5287671765232
200,5.11150965160469,80.082545956486
250,2.90469349954558,73.5992200728577
300,2.06107657604134,52.828300217756
350,1.10970811495919,42.0181288660826
400,NaN,35.625255087101
