t,X_protein_Obs,Y_protein_Obs,Y_mRNA_Obs,Z_mRNA_Obs,GFP_mRNA_Obs
0,34.5347787278426,2203.40211461588,1716.078393295,316.422863662164,1.87710919909415e-05
5.5,NaN,NaN,NaN,NaN,2.22557370620236e-07
10,NaN,NaN,NaN,NaN,-1.03473226330333e-07
15,NaN,NaN,NaN,NaN,4.90197511912203e-07
25,1684.57533666308,31549.7914184714,NaN,NaN,-3.27464467756172e-07
30,NaN,NaN,-6.68862063485104,NaN,2.43192655396274e-09
35,NaN,NaN,NaN,-5.01676037296928,NaN
40,NaN,NaN,NaN,NaN,2.77187690937644e-07
50,829.719508267896,NaN,NaN,NaN,9.88119618409044e-08
55,NaN,13617.782341939,15.306095260279,NaN,NaN
60,NaN,NaN,NaN,NaN,-1.93721378929429e-07
70,NaN,NaN,NaN,1.23750690959472,NaN
75,728.120348452111,NaN,NaN,NaN,NaN
85,NaN,6134.5346808144,NaN,NaN,NaN
90,NaN,NaN,10.440585821779,NaN,NaN
100,314.875427116753,4367.20918107545,15.0175472142814,-2.866905975294,NaN
150,570.629780212882,1948.34764310823,-1.21542600687919,2.05557483614424,NaN
200,1057.49225255101,828.730540655459,-6.23511527102038,-2.70818207909372,NaN
250,776.893818053097,495.361977037253,26.5146068643088,2.38906023986663,NaN
300,NaN,258.497924433678,NaN,NaN,NaN
350,363.964178591986,1622.65837551546,NaN,-6.07105670745949,NaN
400,543.308808036985,NaN,NaN,NaN,NaN
450,NaN,4.01787676535145,NaN,NaN,NaN
