t,pAC_Obs,Csub_Obs,RIIp_C_2_Obs,RIIp_cAMP_C_2_Obs,RIIp_cAMP_2_Obs,AC_Fsk_Obs,RII_2_Obs
0,-0.0922331609112365,0.140825992556124,0.439290686960165,0.00283010796542615,0.000227221060229182,0.00319311161586191,0.0819685671508078
6,NaN,NaN,0.421348284386312,NaN,NaN,NaN,NaN
7.5,-0.101554250305593,NaN,NaN,0.00338404795935688,NaN,NaN,NaN
8,NaN,NaN,NaN,NaN,NaN,0.00398462670309421,NaN
10,NaN,NaN,0.41552180035853,NaN,NaN,NaN,0.0802892093018255
15,0.0671045324166118,NaN,NaN,0.00735724793649868,NaN,8.94334986699668e-05,NaN
20,NaN,0.134342443713184,0.466717025934944,NaN,NaN,NaN,0.0869041251613447
25,-0.00520312321516865,NaN,0.476217718148977,0.0086413276018588,8.31810164304548e-05,0.00329807199578268,NaN
30,NaN,NaN,0.465998361961719,0.00769172714677988,NaN,NaN,0.0808152394187403
35,0.0252862263234073,NaN,NaN,NaN,NaN,0.000732341784311629,NaN
40,NaN,0.140114195513403,0.439557631440823,0.00222355906897453,NaN,NaN,0.0760011434062788
45,0.0241203375211067,NaN,NaN,NaN,0.000306521721868982,NaN,NaN
50,NaN,NaN,0.453351679481143,0.0021850165896667,NaN,-0.000622913072270855,NaN
55,-0.0600534803550839,NaN,NaN,NaN,NaN,NaN,0.0796324036660119
60,NaN,NaN,0.396004181279865,NaN,NaN,-0.000328334238774952,NaN
65,0.0883093934229239,0.245867894464868,NaN,0.18386481610089,NaN,NaN,NaN
70,NaN,NaN,0.131203769785781,NaN,0.0105058152498139,NaN,0.0818755147777257
75,NaN,NaN,NaN,0.135115390879596,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,NaN,0.265321773038739,NaN
85,-0.102181404610632,NaN,0.14190230456586,NaN,NaN,NaN,0.0908112910940233
90,NaN,0.350227077039842,NaN,0.11192761365756,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,0.00703232766749803,NaN,NaN
100,-0.0401357366137272,0.340797189523972,0.0943268126571956,0.1115010036075,NaN,0.266468414166532,0.0777642537715339
150,0.0249870574752832,0.333560219623261,0.117388431893802,0.113384685545823,0.00655025945790134,NaN,0.0837553120075137
200,NaN,0.325602530439301,NaN,NaN,0.00672665260010139,NaN,NaN
250,NaN,0.326989527607223,NaN,NaN,0.00662949018348294,NaN,NaN
300,NaN,0.309416383689689,NaN,NaN,0.00735858150448133,NaN,NaN
350,NaN,0.312370147403545,NaN,NaN,0.00642884263338579,NaN,NaN
450,NaN,0.314462547637142,NaN,NaN,0.00726594627047518,NaN,NaN
