t,Csub_Obs,RIIp_C_2_Obs,RIIp_cAMP_C_2_Obs,RIIp_cAMP_2_Obs,AC_Fsk_Obs,RII_2_Obs,RII_C_2_Obs
0,0.11248181306838,0.468701804279446,0.00432640947361064,0.000336992408928037,-0.000502176850082495,0.0827825367673571,0.434067320895142
9,NaN,NaN,NaN,NaN,-0.00142132452126066,NaN,NaN
10,NaN,0.454545569312602,NaN,NaN,NaN,NaN,NaN
20,0.104057067259922,0.475433400408395,0.00169928839624104,0.00051179751601378,0.000156170047518068,0.0926421868874684,NaN
30,NaN,0.459049867239511,NaN,NaN,0.000102504984533011,NaN,NaN
35,NaN,NaN,NaN,NaN,NaN,NaN,0.420959070294487
40,NaN,NaN,0.00176907941808536,NaN,-0.00141413995225356,NaN,NaN
45,0.092233405529356,0.405628272285761,NaN,0.000310771434834228,NaN,0.107856053171781,NaN
55,NaN,NaN,NaN,NaN,-0.00154460731455128,NaN,NaN
60,NaN,0.466212782003572,0.00377209287565917,NaN,NaN,NaN,NaN
65,NaN,NaN,NaN,0.00747796671236598,NaN,NaN,0.423543999365079
70,0.181880026127044,NaN,NaN,NaN,0.100483431881512,0.105389697792326,NaN
75,NaN,0.223369978512662,NaN,NaN,NaN,NaN,NaN
80,NaN,NaN,0.0894720109991752,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,0.0985840528029229,NaN,NaN
90,NaN,NaN,NaN,0.00516769394702304,NaN,NaN,NaN
95,0.209922947422749,0.224834234270684,NaN,NaN,NaN,0.1167899654148,NaN
100,0.191633640032854,0.171449859103079,0.0802773361874386,0.00441695561477595,0.0981644790196012,0.111419309846167,0.449778960123771
150,0.141340733944907,0.175892450010825,0.0796969798290595,0.00471805717562237,0.0963514674992237,0.153687814551269,0.376129817838112
200,0.111531834822809,NaN,0.0739266771053282,0.00445428197892264,NaN,0.166898777401468,0.393328316269206
250,0.103682839157508,NaN,0.0735018753768151,0.00447392123391293,NaN,0.202345743030491,0.355903523351763
300,0.0840747128355599,NaN,0.0672485784149042,0.00393294670025829,NaN,0.239628623908937,0.397138772769219
350,0.0729093892398233,NaN,0.065493471498261,0.0045319003801827,NaN,0.262741965334258,NaN
400,NaN,NaN,NaN,NaN,NaN,NaN,0.309234003660216
450,NaN,NaN,NaN,NaN,NaN,0.28364688124792,NaN
