t,pAC_Obs,Csub_Obs,RIIp_C_2_Obs,RIIp_cAMP_C_2_Obs,RIIp_cAMP_2_Obs,RII_2_Obs,RII_C_2_Obs
0,0.0157407094771632,0.0974720510370962,0.440849677740057,0.0135910696953268,0.000230687176150636,0.06926167209113,0.426280374268689
3,NaN,NaN,NaN,NaN,NaN,NaN,0.403663188253361
4,-0.0254555238933246,NaN,NaN,NaN,0.00138591063291211,NaN,NaN
4.5,NaN,NaN,NaN,NaN,NaN,0.07889256758517,NaN
5,NaN,0.127747167220176,NaN,NaN,NaN,NaN,NaN
5.5,NaN,NaN,NaN,0.0429455940348071,NaN,NaN,NaN
6.5,NaN,NaN,NaN,NaN,NaN,NaN,0.435218855263224
8,-0.0594797939924861,NaN,NaN,NaN,0.00191451506800495,NaN,NaN
9,NaN,NaN,NaN,NaN,NaN,0.0870662127594282,NaN
10,-0.0178152614140068,0.147223248656622,NaN,0.0247331164679775,NaN,NaN,0.415747906671516
15,-0.051402960648298,0.315751767945019,0.0329393566476544,NaN,0.0162321393173857,0.076265736390992,0.399502605351081
20,0.0334112008664049,NaN,NaN,0.20816934450031,0.0132690579706951,0.0801831066480945,0.422038767302275
25,0.0808724411401876,0.420442843834982,0.021533852047728,0.153421545204937,0.0100512974351197,0.0833571666033926,0.421224212296551
30,NaN,0.432593351666503,NaN,0.147067015295357,0.0091346898324991,NaN,0.451741394537013
35,0.0976029854726088,NaN,NaN,NaN,0.00841432693981508,0.0905187898221895,NaN
40,-0.0355369748804633,0.341200201448962,0.0188504503722226,0.123278508115369,NaN,0.0826962315417229,NaN
45,NaN,NaN,NaN,NaN,0.00920554082663245,NaN,NaN
50,-0.0515395146211936,NaN,NaN,0.128835308445874,NaN,NaN,NaN
55,NaN,NaN,0.0167001108294429,NaN,0.00905795140491184,NaN,NaN
60,-0.0592750875753739,NaN,NaN,NaN,NaN,NaN,NaN
65,NaN,NaN,NaN,0.139039766110164,NaN,NaN,NaN
75,NaN,NaN,0.0246613204833845,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,0.139812857981599,NaN,NaN,NaN
95,NaN,NaN,0.0158215577333824,NaN,NaN,NaN,NaN
100,NaN,NaN,0.0221638390458012,0.12815663281733,NaN,NaN,NaN
150,NaN,NaN,0.013193243451671,NaN,NaN,NaN,NaN
200,NaN,NaN,0.0184382048034262,NaN,NaN,NaN,NaN
250,NaN,NaN,0.0206192234058538,NaN,NaN,NaN,NaN
300,NaN,NaN,0.0151163911487585,NaN,NaN,NaN,NaN
