t,pAC_Obs,Csub_Obs,RIIp_C_2_Obs,RIIp_cAMP_C_2_Obs,RIIp_cAMP_2_Obs,RII_2_Obs,RII_C_2_Obs
0,0.0578475598215908,0.114530603958429,0.453470654152492,0.0062288881700988,0.000130371389239393,0.0795091026071614,0.40550304779221
7.5,NaN,NaN,0.480722335952736,NaN,NaN,NaN,NaN
8,NaN,NaN,NaN,NaN,NaN,0.0845542366015005,NaN
9,NaN,0.124052121589853,NaN,NaN,NaN,NaN,NaN
10,NaN,NaN,NaN,NaN,NaN,NaN,0.470760545020496
15,NaN,NaN,0.476028008178377,0.00568431604730433,NaN,0.0759924557187344,NaN
20,NaN,0.121818351267621,NaN,NaN,0.000342980072914073,NaN,0.442968132095862
25,NaN,NaN,0.403082904724195,NaN,NaN,0.0720238169533138,NaN
30,-0.0217620400722952,0.123939836222736,NaN,0.00679290172372713,NaN,NaN,0.457782508092082
35,NaN,NaN,0.430355425580119,NaN,NaN,0.0826915058772667,NaN
40,NaN,0.131442357007233,NaN,0.00764874938520671,NaN,NaN,0.432138844356821
45,NaN,NaN,0.465473494219858,NaN,0.000206714745177115,0.0722896601643742,NaN
50,NaN,0.135147626344704,NaN,NaN,NaN,NaN,NaN
55,NaN,NaN,NaN,0.00532071788958791,NaN,0.0809788111993102,0.456802886956736
60,-0.016428654444492,0.129582145126411,0.446264878323382,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,NaN,0.00343534009491634,0.080251571964679,0.436704750583437
75,NaN,0.196737397541766,0.36969628839403,0.0515160077588265,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,NaN,0.0875667555891183,0.423823433362888
90,NaN,0.216059074132509,NaN,0.0472934731479306,NaN,NaN,NaN
95,0.00871426735264765,NaN,NaN,NaN,0.0028726067005715,NaN,NaN
100,NaN,0.207448791029493,NaN,0.0458357064348609,0.00290685291058893,0.0870879767842334,0.415422679865918
150,-0.0686367242191534,0.212530118499193,NaN,0.0467739090538591,0.00305191205703775,0.0901876706300195,0.457225455412844
200,0.0557831690619551,NaN,NaN,0.0466191919798871,0.00280177602492092,NaN,0.449570738840078
250,-0.068722022398717,NaN,NaN,0.047803886093031,0.00297182472507484,NaN,NaN
300,-0.00896292336931769,NaN,NaN,0.0483677300677486,0.00298172577225241,NaN,NaN
350,NaN,NaN,NaN,0.0499038117866645,0.00301868512817654,NaN,NaN
450,NaN,NaN,NaN,NaN,0.00289680041350572,NaN,NaN
