t,Csub_Obs,RIIp_C_2_Obs,RIIp_cAMP_C_2_Obs,RIIp_cAMP_2_Obs,AC_Fsk_Obs,RII_2_Obs,RII_C_2_Obs,Sp8_Br_cAMPS_Obs
0,0.139823325006065,0.451293295796037,0.00492217461788692,0.000312349506039637,0.0349380153730634,0.0859828190869319,0.414238606498623,-0.672226158080498
3.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.52878263503553
4,NaN,0.0308141398025851,0.00035983665659118,2.75025443254103e-05,NaN,NaN,NaN,NaN
4.5,NaN,NaN,NaN,NaN,NaN,0.0744920516292914,0.377622510174274,NaN
7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.28550772553076
8,NaN,0.0161481635382086,0.000162362797571842,1.20301669314365e-05,NaN,NaN,NaN,NaN
9,NaN,NaN,NaN,NaN,NaN,NaN,0.338337134114404,NaN
9.5,NaN,NaN,NaN,NaN,0.0388592659385096,0.078991832188527,NaN,NaN
10,NaN,NaN,NaN,7.64909168888146e-06,NaN,NaN,NaN,5.94973552091747
15,0.391804154469457,0.0022495696118665,-3.06061073722878e-05,NaN,NaN,0.0915633624429811,0.466915573547402,8.93394084778483
20,NaN,0.00282346773530643,6.36364850556719e-05,1.05606808502529e-06,0.0437727052432473,0.089645817416798,0.425751975968536,8.74012667246145
25,0.392919481952995,0.010624861080496,0.000202195535825159,8.7427323955625e-08,NaN,0.0830849562789561,NaN,9.34164380850602
30,NaN,0.00376953181931604,-1.61924088240154e-05,-4.29346508171414e-07,-0.0784115728284703,0.0911489347231072,0.442010132512865,9.28135671036257
35,NaN,NaN,NaN,NaN,NaN,NaN,0.456457553759574,9.64781919633097
40,0.368932548864155,NaN,NaN,NaN,0.0728119142517171,0.0905454475426633,NaN,10.4679042289945
50,NaN,NaN,NaN,NaN,NaN,0.081905574199768,NaN,9.74292003047168
55,0.359510540867264,NaN,NaN,NaN,0.0125845043216895,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,NaN,0.0927308743424479,NaN,9.93267384500587
70,0.375055262500362,NaN,NaN,NaN,0.0177486838758271,NaN,NaN,9.94663602824591
75,NaN,NaN,NaN,NaN,NaN,0.0824002050024349,NaN,NaN
90,0.370192040519385,NaN,NaN,NaN,0.0527082215969927,NaN,NaN,NaN
100,0.390252002512978,NaN,NaN,NaN,NaN,NaN,NaN,NaN
150,0.383372444156322,NaN,NaN,NaN,NaN,NaN,NaN,NaN
200,0.36208386296918,NaN,NaN,NaN,NaN,NaN,NaN,NaN
250,0.372386461192369,NaN,NaN,NaN,NaN,NaN,NaN,NaN
