t,Csub_Obs,RIIp_C_2_Obs,RIIp_cAMP_C_2_Obs,RIIp_cAMP_2_Obs,AC_Fsk_Obs,RII_2_Obs,RII_C_2_Obs
0,0.130380770862388,0.456969466253866,0.00466554403454869,0.000308655795665169,-0.101431689932192,0.0754500839606381,0.37496492112383
3,NaN,NaN,NaN,NaN,0.0729667568249754,NaN,NaN
4,0.123053864822338,NaN,NaN,NaN,NaN,NaN,NaN
4.5,NaN,0.444936310789202,0.00512867804201955,NaN,NaN,0.0774498410274892,0.431298629156247
5,NaN,NaN,NaN,0.000312428947393778,NaN,NaN,NaN
6,NaN,NaN,NaN,NaN,-0.0754993062839391,NaN,NaN
8,0.116205665212571,NaN,NaN,NaN,NaN,NaN,NaN
9,NaN,NaN,NaN,NaN,NaN,0.085409747467711,NaN
9.5,NaN,0.446002011268769,0.00488687419941345,NaN,0.123092445055987,NaN,0.442021973570801
10,0.124480739193616,NaN,NaN,0.000308498246320121,NaN,NaN,NaN
15,0.284040777002185,0.0138082918022076,0.000150258900448841,2.57220765994988e-05,0.0162413334304445,0.0831813166777568,0.443539492747704
20,NaN,0.0193835143922812,4.69381199745734e-05,NaN,-0.0257780529015746,0.0823391101867379,0.401509157308054
25,0.418060836824324,NaN,NaN,1.37751106708502e-05,NaN,0.0806318020559313,0.432885255734312
30,0.406619900830429,0.00930200717665371,0.000162488943014732,-9.95416700842737e-07,0.0741246653821273,0.0869913117321345,0.461483978238897
35,NaN,-0.0113334867419265,-0.000153166063578477,NaN,NaN,NaN,NaN
40,0.401092754919172,NaN,NaN,8.98400544103118e-06,NaN,0.0848525783198772,0.47046686905365
45,NaN,NaN,NaN,NaN,NaN,0.0934202215657833,NaN
50,NaN,NaN,NaN,NaN,NaN,NaN,0.478744487895822
55,NaN,NaN,NaN,NaN,NaN,0.0917698723636465,NaN
60,NaN,NaN,NaN,NaN,NaN,NaN,0.469936423573928
65,NaN,NaN,NaN,NaN,NaN,0.0871128306521277,NaN
70,NaN,NaN,NaN,NaN,NaN,NaN,0.536242100214137
80,NaN,NaN,NaN,NaN,NaN,0.0877316298244006,NaN
85,NaN,NaN,NaN,NaN,NaN,NaN,0.457574546873317
