t,pAC_Obs,Csub_Obs,RIIp_C_2_Obs,RIIp_cAMP_C_2_Obs,RIIp_cAMP_2_Obs,AC_Fsk_Obs,RII_2_Obs
0,0.00786085628411469,0.110228336525251,0.43579285598533,0.00891375294591897,-0.000397998870041841,-0.00609266612377005,0.0712253611658814
4,NaN,NaN,NaN,0.0074612618401698,0.000682794975203793,NaN,NaN
4.5,0.0128741237241557,NaN,0.439142642168232,NaN,NaN,NaN,NaN
5.5,NaN,0.115604457123765,NaN,NaN,NaN,NaN,NaN
6,NaN,NaN,NaN,NaN,NaN,NaN,0.0786570024629058
8,NaN,NaN,NaN,0.0165489258481602,NaN,NaN,NaN
8.5,NaN,NaN,NaN,NaN,0.000116644192500065,NaN,NaN
9,0.0381645067954888,NaN,NaN,NaN,NaN,-0.00852793046328974,NaN
9.5,NaN,NaN,0.439015488065924,NaN,NaN,NaN,NaN
10,NaN,0.120718918275607,NaN,NaN,NaN,NaN,NaN
15,-0.0124519727936512,0.225345524196944,0.167833030633018,0.191600009492302,0.0119000445099916,NaN,0.0722611314425671
20,0.0731958503740576,NaN,0.148341583288192,0.154031099050349,NaN,0.268033537690349,0.0841727221553925
25,0.0252548555329346,0.340422940961071,0.0965246773182226,0.144330307604497,0.00889405227033008,NaN,0.0839797333440586
30,-0.0964511512099662,0.321394860858507,NaN,0.129442794279778,0.00774108357121229,0.263627415227892,NaN
35,NaN,NaN,0.0808253524569798,0.126345924062532,0.00762488689271838,NaN,0.0869586094832076
40,-0.00643467424229254,0.334768725790253,NaN,NaN,0.00717065140745602,0.261858093306067,NaN
45,NaN,NaN,0.123342919147252,0.125461019997396,NaN,NaN,0.0797586984075598
50,-0.00188616695488533,0.331745542854073,NaN,NaN,0.0073948650339826,0.263272307770283,NaN
55,NaN,NaN,NaN,0.108818016965721,NaN,NaN,0.0835871323074329
60,0.071426395533553,NaN,NaN,NaN,0.00736856952037453,0.269946424954778,NaN
70,NaN,NaN,NaN,NaN,NaN,NaN,0.0704946850704175
75,NaN,NaN,NaN,NaN,NaN,0.28326414072558,NaN
85,NaN,NaN,NaN,NaN,NaN,NaN,0.0824697609375938
90,NaN,NaN,NaN,NaN,NaN,0.271617010722666,NaN
100,NaN,NaN,NaN,NaN,NaN,0.280698976117384,NaN
150,NaN,NaN,NaN,NaN,NaN,0.262287069848238,NaN
200,NaN,NaN,NaN,NaN,NaN,0.266102036724514,NaN
