t,Csub_Obs,RIIp_C_2_Obs,RIIp_cAMP_C_2_Obs,RIIp_cAMP_2_Obs,AC_Fsk_Obs,RII_2_Obs,RII_C_2_Obs
0,0.122606113609663,0.477026018882676,0.00439725359463266,0.000323725107319943,0.0137516070388997,0.0951811967857688,0.412665815909538
15,NaN,NaN,NaN,NaN,-0.0199678590280908,NaN,NaN
20,0.0846316281951004,0.434827224571704,NaN,NaN,NaN,0.0742555809356207,0.418531597910203
25,NaN,NaN,0.00454256531106389,NaN,NaN,NaN,NaN
30,NaN,NaN,NaN,0.000313412785391948,NaN,NaN,NaN
35,NaN,NaN,NaN,NaN,-0.0292184099530872,NaN,NaN
45,0.074873630509991,0.431951965253745,NaN,NaN,NaN,0.102503679854229,0.419436931415256
50,NaN,NaN,0.00488529095213096,NaN,0.0501661378622897,NaN,NaN
60,NaN,NaN,NaN,0.000301158494796379,NaN,NaN,NaN
65,NaN,NaN,NaN,NaN,NaN,0.129366326861998,NaN
70,0.0588131706582096,0.422408746761712,NaN,NaN,-0.0408138125582946,NaN,0.40791653215875
80,NaN,NaN,0.00431870646862274,NaN,NaN,NaN,NaN
95,0.0526418147144931,0.430034091659804,NaN,0.000269128258687841,-0.00984563118164735,0.154720131349439,0.36320030761791
100,0.0513455611746381,0.434195103106732,0.00460265513616465,NaN,0.0844153893599725,0.152525077388456,0.35612978092202
150,0.0371167443822241,0.42544773468322,0.00442882959851733,0.000279437988628102,0.0412549062846542,0.209396798562933,0.357132906188847
200,0.0364879447791053,0.388497762175577,0.00408523183511114,0.000253640586368548,NaN,0.219061544907767,0.350143918358026
250,0.0271540116877308,0.355801360442745,0.00401081475382747,NaN,NaN,0.26126733813116,0.372005028449273
300,0.0271622907477109,0.375318603599644,0.00390744768478245,0.000236126249191409,NaN,0.262337688390819,0.284569781285596
350,0.0280752177407795,0.319731603358424,0.00367007395364823,0.00023431069336116,NaN,0.271886786207093,0.321686467329398
450,0.0203646068247413,0.313339266454665,0.00368195989595278,0.000216986252060388,NaN,0.325872940613058,0.279871295042077
