t,Csub_Obs,RIIp_C_2_Obs,RIIp_cAMP_C_2_Obs,RIIp_cAMP_2_Obs,AC_Fsk_Obs,RII_2_Obs,RII_C_2_Obs
0,0.132081030974982,0.421479685948873,0.00527159945263642,0.00032413540860617,-0.000976218051549516,0.0756731989179253,0.461799073735287
7.5,NaN,NaN,NaN,NaN,-0.000450112141979252,NaN,NaN
15,NaN,0.441650680341344,0.00417014884054957,0.000356013563502722,-0.000450323704092015,NaN,NaN
20,0.0973532323433482,NaN,NaN,NaN,NaN,NaN,NaN
25,NaN,NaN,NaN,0.000352383230746557,-0.00201008521538097,0.0811975356993581,0.403361436488751
30,NaN,0.460017872961456,0.00217470149223145,NaN,NaN,NaN,NaN
35,NaN,NaN,NaN,NaN,0.000123347633407651,NaN,NaN
40,NaN,NaN,NaN,0.000387999319201594,NaN,NaN,NaN
45,0.107660627483493,0.440407068452249,0.00695298079628944,NaN,0.000634728543680874,NaN,NaN
50,NaN,NaN,NaN,NaN,NaN,0.0913870285381373,0.424407003993435
55,NaN,NaN,NaN,NaN,-0.000904911597225405,NaN,NaN
60,NaN,NaN,0.00917651841012614,0.000346709487171784,NaN,NaN,NaN
65,NaN,0.252784382625679,NaN,NaN,NaN,NaN,NaN
70,0.204435514962456,NaN,NaN,NaN,0.0990404387502207,NaN,NaN
75,NaN,NaN,NaN,NaN,NaN,NaN,0.389867717490041
80,NaN,NaN,0.0916062512169624,0.00571251177901254,NaN,0.101635915368867,NaN
90,NaN,0.19590719657692,NaN,NaN,0.0991598871308291,NaN,NaN
95,0.217006189053717,NaN,NaN,NaN,NaN,NaN,NaN
100,0.237374957657817,0.203845801240858,0.0769745811908246,0.00496589817409311,0.0974115510330213,0.102983741231775,0.411872356422179
150,0.228661212511266,0.19145189170767,0.0788334299309596,0.00490203874474442,NaN,0.11525923641033,0.426780128552011
200,0.19226074312644,NaN,NaN,NaN,NaN,0.119585861042078,0.455243882775432
250,0.16143304484742,NaN,NaN,NaN,NaN,0.137081382001198,0.4762435518638
300,0.132125596729196,NaN,NaN,NaN,NaN,0.147545947082633,0.444904167060373
350,0.144636902717912,NaN,NaN,NaN,NaN,0.153912437053906,0.44023796850152
450,0.116679650579661,NaN,NaN,NaN,NaN,0.192172952486529,NaN
