t,Csub_Obs,RIIp_C_2_Obs,RIIp_cAMP_C_2_Obs,RIIp_cAMP_2_Obs,AC_Fsk_Obs,RII_2_Obs,RII_C_2_Obs
0,0.144318434678727,0.44671186161665,0.0138815832459488,0.000824006175971475,-0.00591035825673376,0.0798679884834958,0.408684610391993
0.15,NaN,NaN,NaN,NaN,0.251302864146819,NaN,NaN
0.35,NaN,NaN,NaN,NaN,0.278161858105923,NaN,NaN
0.55,NaN,NaN,NaN,NaN,0.257952937025391,NaN,NaN
0.75,NaN,NaN,NaN,NaN,0.270551750950515,NaN,NaN
1,NaN,NaN,NaN,NaN,0.280493573896406,NaN,NaN
1.5,NaN,NaN,NaN,NaN,0.273457174847745,NaN,NaN
2,0.181220129075437,0.0467302941006908,NaN,NaN,NaN,0.0753605395910649,NaN
2.5,NaN,NaN,0.349693732458931,0.0219253174800321,NaN,NaN,0.386527945805208
4,0.273366985807225,0.0412527346283102,NaN,NaN,NaN,NaN,NaN
4.5,NaN,NaN,0.286083701458739,0.0167795887993012,NaN,0.0843638386728948,0.440266256880563
6,0.288485305878748,NaN,NaN,NaN,NaN,NaN,NaN
6.5,NaN,0.0239360531496538,NaN,NaN,NaN,0.0758683064014211,NaN
7,NaN,NaN,0.245242951569484,0.0163302952610545,NaN,NaN,0.374595065752105
8.5,0.359457890353323,NaN,NaN,NaN,NaN,NaN,NaN
9,NaN,0.0280515778525658,NaN,NaN,NaN,0.0802235759490992,NaN
10,0.362023217356095,0.0195091291199738,0.197934443534996,0.0125251774509762,NaN,0.0891336919658569,0.39049633602884
15,0.376697653391012,0.0195605640886159,0.159873557026905,0.00924650858397403,NaN,0.0781820870293936,0.403992516413037
20,0.426014458934213,0.0188593712592906,0.128638912107435,0.00979621056643324,NaN,0.0826629368809533,0.444470991906269
25,0.388972024156513,0.02013041878068,0.124548161138235,0.00762481707832408,NaN,0.0888017278533968,0.451669160373412
30,0.377299594788334,0.0155042733265301,0.146657194223718,0.00884210720200985,NaN,0.0864153802976109,0.443422385180057
40,0.411346667832813,0.01432326453524,0.142406050326485,0.00902381037895959,NaN,0.0939613493973341,0.440362147047113
