t,pAC_Obs,Csub_Obs,RIIp_C_2_Obs,RIIp_cAMP_2_Obs,Rp_cAMPS_Obs,RIIp_Rp_cAMPS_C_2_Obs,pPDE_Obs,AC_Fsk_Obs
0,-0.0279270805351663,0.117986876588763,0.48558476526528,0.000310996618115559,-0.140070914296061,-0.00629670877764313,0.0376342523271459,0.0787117369213045
10,-0.0534813866838,NaN,0.432465926066499,0.000329445827684033,-0.069312700744534,0.102627464848111,-0.00128376912040639,NaN
15,NaN,0.132903596019038,NaN,NaN,NaN,NaN,NaN,NaN
20,NaN,NaN,0.427647992690688,NaN,-0.0105196813817984,-0.129284161424607,-0.00585479188359172,0.0458806572667397
25,0.0168666152868329,0.118792100041167,NaN,0.000313946995979057,NaN,NaN,NaN,NaN
35,NaN,NaN,0.425210883926739,NaN,0.0261651469877093,-0.0744893439089325,-0.0216072907382519,NaN
40,0.014494452951941,NaN,NaN,0.000337053448484743,NaN,NaN,NaN,-0.104963390222165
45,NaN,0.116729678023204,NaN,NaN,NaN,NaN,NaN,NaN
50,NaN,NaN,0.423490373661791,NaN,-0.0352235569095707,-0.0189761129975277,0.00197516624028415,NaN
55,0.0338096286283668,NaN,NaN,0.00026786871451517,NaN,NaN,NaN,NaN
60,NaN,0.123149173850684,NaN,NaN,NaN,NaN,NaN,NaN
65,NaN,NaN,0.455939427577707,NaN,-0.0165529134865115,0.0138338106463392,-0.0693285285631952,-0.0277772117473003
75,0.0439856565599599,NaN,NaN,0.000320444881792388,NaN,NaN,NaN,NaN
80,NaN,0.119598742298878,NaN,NaN,NaN,NaN,NaN,NaN
85,NaN,NaN,0.438633721356167,NaN,-0.0579512453404575,-0.140624871226331,0.0482469199163381,0.0359009467684872
100,0.0217428224574044,0.127035222516351,NaN,0.000332546446187104,-0.0262028450098082,-0.0137287681768029,-0.0303069065813215,-0.0680685024422322
150,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.0237867350850998
200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.0150400456881878
250,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0508904579493829
300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.0191039409491128
350,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0208474724784329
450,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.0257922910331308
